path_item_id,path_id,learner_id,resource_id,skill_id,skill_name,sequence_order,status,estimated_minutes,required
ITEM00215,PATH0036,LRN0036,RES0139,SK047,Kubernetes Basics,5,mastered_skip,480,False
ITEM00216,PATH0036,LRN0036,RES0144,SK048,CI/CD Pipelines,6,planned,660,True
ITEM00217,PATH0037,LRN0037,RES0035,SK012,SQL Basics,1,planned,210,True
ITEM00218,PATH0037,LRN0037,RES0055,SK019,Advanced SQL,2,planned,600,True
ITEM00219,PATH0037,LRN0037,RES0037,SK013,Excel for Data Analysis,3,mastered_skip,240,False
ITEM00220,PATH0037,LRN0037,RES0046,SK016,Data Visualization,4,mastered_skip,360,False
ITEM00221,PATH0037,LRN0037,RES0033,SK011,Descriptive Statistics,5,planned,300,True
ITEM00222,PATH0037,LRN0037,RES0053,SK018,Exploratory Data Analysis,6,planned,570,True
ITEM00223,PATH0038,LRN0038,RES0007,SK003,Python Data Structures,1,mastered_skip,240,False
ITEM00224,PATH0038,LRN0038,RES0049,SK017,Inferential Statistics,2,mastered_skip,480,False
ITEM00225,PATH0038,LRN0038,RES0061,SK021,ML Foundations,3,mastered_skip,120,False
ITEM00226,PATH0038,LRN0038,RES0066,SK022,Regression Techniques,4,planned,300,True
ITEM00227,PATH0038,LRN0038,RES0068,SK023,Classification Techniques,5,planned,330,True
ITEM00228,PATH0038,LRN0038,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00229,PATH0039,LRN0039,RES0061,SK021,ML Foundations,1,mastered_skip,120,False
ITEM00230,PATH0039,LRN0039,RES0073,SK025,Feature Engineering,2,mastered_skip,360,False
ITEM00231,PATH0039,LRN0039,RES0081,SK027,Neural Networks,3,planned,660,True
ITEM00232,PATH0039,LRN0039,RES0083,SK028,Deep Learning,4,planned,570,True
ITEM00233,PATH0039,LRN0039,RES0148,SK050,Model Deployment,5,planned,600,True
ITEM00234,PATH0039,LRN0039,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00235,PATH0040,LRN0040,RES0091,SK031,HTML & CSS,1,mastered_skip,120,False
ITEM00236,PATH0040,LRN0040,RES0096,SK032,JavaScript Basics,2,planned,300,True
ITEM00237,PATH0040,LRN0040,RES0104,SK035,React Fundamentals,3,planned,450,True
ITEM00238,PATH0040,LRN0040,RES0106,SK036,Node.js Basics,4,planned,360,True
ITEM00239,PATH0040,LRN0040,RES0109,SK037,REST API Design,5,mastered_skip,480,False
ITEM00240,PATH0040,LRN0040,RES0100,SK034,Database Design (RDBMS),6,mastered_skip,240,False
ITEM00241,PATH0041,LRN0041,RES0057,SK019,Advanced SQL,1,planned,780,True
ITEM00242,PATH0041,LRN0041,RES0152,SK051,Data Modeling,2,planned,210,True
ITEM00243,PATH0041,LRN0041,RES0157,SK053,ETL Fundamentals,3,mastered_skip,240,False
ITEM00244,PATH0041,LRN0041,RES0169,SK057,Apache Spark Basics,4,mastered_skip,480,False
ITEM00245,PATH0041,LRN0041,RES0160,SK054,Data Warehousing,5,mastered_skip,240,False
ITEM00246,PATH0041,LRN0041,RES0180,SK060,Data Pipeline Design,6,planned,780,True
ITEM00247,PATH0042,LRN0042,RES0122,SK041,Linux Fundamentals,1,planned,210,True
ITEM00248,PATH0042,LRN0042,RES0124,SK042,Cloud Computing Basics,2,mastered_skip,120,False
ITEM00249,PATH0042,LRN0042,RES0130,SK044,AWS Core Services,3,mastered_skip,240,False
ITEM00250,PATH0042,LRN0042,RES0133,SK045,Docker Fundamentals,4,mastered_skip,360,False
ITEM00251,PATH0042,LRN0042,RES0141,SK047,Kubernetes Basics,5,planned,660,True
ITEM00252,PATH0042,LRN0042,RES0143,SK048,CI/CD Pipelines,6,planned,570,True
ITEM00253,PATH0043,LRN0043,RES0034,SK012,SQL Basics,1,planned,120,True
ITEM00254,PATH0043,LRN0043,RES0055,SK019,Advanced SQL,2,mastered_skip,600,False
ITEM00255,PATH0043,LRN0043,RES0037,SK013,Excel for Data Analysis,3,mastered_skip,240,False
ITEM00256,PATH0043,LRN0043,RES0048,SK016,Data Visualization,4,planned,540,True
ITEM00257,PATH0043,LRN0043,RES0032,SK011,Descriptive Statistics,5,planned,210,True
ITEM00258,PATH0043,LRN0043,RES0052,SK018,Exploratory Data Analysis,6,planned,480,True
ITEM00259,PATH0044,LRN0044,RES0007,SK003,Python Data Structures,1,mastered_skip,240,False
ITEM00260,PATH0044,LRN0044,RES0049,SK017,Inferential Statistics,2,mastered_skip,480,False
ITEM00261,PATH0044,LRN0044,RES0063,SK021,ML Foundations,3,planned,300,True
ITEM00262,PATH0044,LRN0044,RES0065,SK022,Regression Techniques,4,planned,210,True
ITEM00263,PATH0044,LRN0044,RES0067,SK023,Classification Techniques,5,mastered_skip,240,False
ITEM00264,PATH0044,LRN0044,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00265,PATH0045,LRN0045,RES0061,SK021,ML Foundations,1,mastered_skip,120,False
ITEM00266,PATH0045,LRN0045,RES0075,SK025,Feature Engineering,2,planned,540,True
ITEM00267,PATH0045,LRN0045,RES0080,SK027,Neural Networks,3,planned,570,True
ITEM00268,PATH0045,LRN0045,RES0082,SK028,Deep Learning,4,planned,480,True
ITEM00269,PATH0045,LRN0045,RES0148,SK050,Model Deployment,5,mastered_skip,600,False
ITEM00270,PATH0045,LRN0045,RES0070,SK024,Model Evaluation,6,mastered_skip,240,False
ITEM00271,PATH0046,LRN0046,RES0093,SK031,HTML & CSS,1,planned,300,True
ITEM00272,PATH0046,LRN0046,RES0095,SK032,JavaScript Basics,2,planned,210,True
ITEM00273,PATH0046,LRN0046,RES0103,SK035,React Fundamentals,3,planned,360,True
ITEM00274,PATH0046,LRN0046,RES0106,SK036,Node.js Basics,4,mastered_skip,360,False
ITEM00275,PATH0046,LRN0046,RES0109,SK037,REST API Design,5,mastered_skip,480,False
ITEM00276,PATH0046,LRN0046,RES0102,SK034,Database Design (RDBMS),6,planned,420,True
ITEM00277,PATH0047,LRN0047,RES0056,SK019,Advanced SQL,1,planned,690,True
ITEM00278,PATH0047,LRN0047,RES0151,SK051,Data Modeling,2,mastered_skip,120,False
ITEM00279,PATH0047,LRN0047,RES0157,SK053,ETL Fundamentals,3,mastered_skip,240,False
ITEM00280,PATH0047,LRN0047,RES0169,SK057,Apache Spark Basics,4,mastered_skip,480,False
ITEM00281,PATH0047,LRN0047,RES0162,SK054,Data Warehousing,5,planned,420,True
ITEM00282,PATH0047,LRN0047,RES0179,SK060,Data Pipeline Design,6,planned,690,True
ITEM00283,PATH0048,LRN0048,RES0121,SK041,Linux Fundamentals,1,planned,120,True
ITEM00284,PATH0048,LRN0048,RES0124,SK042,Cloud Computing Basics,2,mastered_skip,120,False
ITEM00285,PATH0048,LRN0048,RES0130,SK044,AWS Core Services,3,mastered_skip,240,False
ITEM00286,PATH0048,LRN0048,RES0135,SK045,Docker Fundamentals,4,planned,540,True
ITEM00287,PATH0048,LRN0048,RES0140,SK047,Kubernetes Basics,5,planned,570,True
ITEM00288,PATH0048,LRN0048,RES0142,SK048,CI/CD Pipelines,6,planned,480,True
ITEM00289,PATH0049,LRN0049,RES0034,SK012,SQL Basics,1,mastered_skip,120,False
ITEM00290,PATH0049,LRN0049,RES0055,SK019,Advanced SQL,2,mastered_skip,600,False
ITEM00291,PATH0049,LRN0049,RES0039,SK013,Excel for Data Analysis,3,planned,420,True
ITEM00292,PATH0049,LRN0049,RES0047,SK016,Data Visualization,4,planned,450,True
ITEM00293,PATH0049,LRN0049,RES0031,SK011,Descriptive Statistics,5,planned,120,True
