attempt_id,assessment_id,learner_id,skill_name,score,passed,duration_seconds,self_reported_confidence
ATT00075,ASM028,LRN0009,Neural Networks,0.14,False,680,0.077
ATT00076,ASM012,LRN0009,Deep Learning,0.406,False,676,0.388
ATT00077,ASM026,LRN0009,Model Deployment,0.457,False,688,0.481
ATT00078,ASM027,LRN0009,Model Evaluation,0.739,True,728,0.661
ATT00079,ASM031,LRN0009,Python Basics,0.946,True,711,0.98
ATT00080,ASM019,LRN0009,Git & Version Control,0.175,False,619,0.161
ATT00081,ASM030,LRN0009,Problem Solving (DSA Practice),0.451,False,868,0.339
ATT00082,ASM020,LRN0010,HTML & CSS,0.797,True,376,0.876
ATT00083,ASM022,LRN0010,JavaScript Basics,0.173,False,628,0.27
ATT00084,ASM034,LRN0010,React Fundamentals,0.438,False,514,0.318
ATT00085,ASM029,LRN0010,Node.js Basics,0.529,False,706,0.495
ATT00086,ASM033,LRN0010,REST API Design,0.805,True,710,0.798
ATT00087,ASM011,LRN0010,Database Design (RDBMS),0.921,True,693,0.98
ATT00088,ASM031,LRN0010,Python Basics,0.162,False,473,0.056
ATT00089,ASM019,LRN0010,Git & Version Control,0.301,False,539,0.279
ATT00090,ASM030,LRN0010,Problem Solving (DSA Practice),0.606,True,334,0.632
ATT00091,ASM002,LRN0011,Advanced SQL,0.24,False,711,0.149
ATT00092,ASM007,LRN0011,Data Modeling,0.236,False,940,0.29
ATT00093,ASM015,LRN0011,ETL Fundamentals,0.625,True,699,0.615
ATT00094,ASM003,LRN0011,Apache Spark Basics,0.815,True,613,0.697
ATT00095,ASM010,LRN0011,Data Warehousing,0.998,True,322,0.943
ATT00096,ASM008,LRN0011,Data Pipeline Design,0.208,False,354,0.239
ATT00097,ASM031,LRN0011,Python Basics,0.361,False,719,0.395
ATT00098,ASM019,LRN0011,Git & Version Control,0.543,False,701,0.509
ATT00099,ASM030,LRN0011,Problem Solving (DSA Practice),0.83,True,591,0.95
ATT00100,ASM024,LRN0012,Linux Fundamentals,0.356,False,668,0.447
ATT00101,ASM006,LRN0012,Cloud Computing Basics,0.589,False,632,0.685
ATT00102,ASM001,LRN0012,AWS Core Services,0.655,True,686,0.782
ATT00103,ASM014,LRN0012,Docker Fundamentals,0.845,True,559,0.936
ATT00104,ASM023,LRN0012,Kubernetes Basics,0.052,False,710,0.109
ATT00105,ASM004,LRN0012,CI/CD Pipelines,0.395,False,608,0.383
ATT00106,ASM031,LRN0012,Python Basics,0.504,False,348,0.426
ATT00107,ASM019,LRN0012,Git & Version Control,0.798,True,440,0.705
ATT00108,ASM030,LRN0012,Problem Solving (DSA Practice),0.951,True,609,0.882
ATT00109,ASM036,LRN0013,SQL Basics,0.625,True,637,0.523
ATT00110,ASM002,LRN0013,Advanced SQL,0.669,True,718,0.727
ATT00111,ASM016,LRN0013,Excel for Data Analysis,0.919,True,877,0.98
ATT00112,ASM009,LRN0013,Data Visualization,0.056,False,521,0.086
ATT00113,ASM013,LRN0013,Descriptive Statistics,0.478,False,567,0.53
ATT00114,ASM017,LRN0013,Exploratory Data Analysis,0.547,False,805,0.554
ATT00115,ASM031,LRN0013,Python Basics,0.625,True,603,0.705
ATT00116,ASM019,LRN0013,Git & Version Control,0.995,True,494,0.98
ATT00117,ASM030,LRN0013,Problem Solving (DSA Practice),0.104,False,617,0.128
ATT00118,ASM032,LRN0014,Python Data Structures,0.687,True,355,0.611
ATT00119,ASM021,LRN0014,Inferential Statistics,0.864,True,704,0.923
ATT00120,ASM025,LRN0014,ML Foundations,0.19,False,594,0.279
ATT00121,ASM035,LRN0014,Regression Techniques,0.317,False,650,0.314
ATT00122,ASM005,LRN0014,Classification Techniques,0.646,True,520,0.561
ATT00123,ASM027,LRN0014,Model Evaluation,0.72,True,420,0.71
ATT00124,ASM031,LRN0014,Python Basics,0.947,True,447,0.903
ATT00125,ASM019,LRN0014,Git & Version Control,0.123,False,624,0.236
ATT00126,ASM030,LRN0014,Problem Solving (DSA Practice),0.438,False,421,0.382
ATT00127,ASM025,LRN0015,ML Foundations,0.835,True,576,0.781
ATT00128,ASM018,LRN0015,Feature Engineering,0.159,False,782,0.05
ATT00129,ASM028,LRN0015,Neural Networks,0.378,False,752,0.421
ATT00130,ASM012,LRN0015,Deep Learning,0.531,False,483,0.668
ATT00131,ASM026,LRN0015,Model Deployment,0.758,True,717,0.883
ATT00132,ASM027,LRN0015,Model Evaluation,0.916,True,561,0.85
ATT00133,ASM031,LRN0015,Python Basics,0.099,False,656,0.058
ATT00134,ASM019,LRN0015,Git & Version Control,0.373,False,625,0.347
ATT00135,ASM030,LRN0015,Problem Solving (DSA Practice),0.609,True,597,0.621
ATT00136,ASM020,LRN0016,HTML & CSS,0.088,False,665,0.163
ATT00137,ASM022,LRN0016,JavaScript Basics,0.317,False,700,0.221
ATT00138,ASM034,LRN0016,React Fundamentals,0.664,True,469,0.534
ATT00139,ASM029,LRN0016,Node.js Basics,0.634,True,629,0.746
ATT00140,ASM033,LRN0016,REST API Design,0.995,True,468,0.98
ATT00141,ASM011,LRN0016,Database Design (RDBMS),0.134,False,559,0.151
ATT00142,ASM031,LRN0016,Python Basics,0.262,False,521,0.341
ATT00143,ASM019,LRN0016,Git & Version Control,0.673,True,637,0.597
ATT00144,ASM030,LRN0016,Problem Solving (DSA Practice),0.771,True,649,0.704
ATT00145,ASM002,LRN0017,Advanced SQL,0.462,False,654,0.536
ATT00146,ASM007,LRN0017,Data Modeling,0.441,False,548,0.543
ATT00147,ASM015,LRN0017,ETL Fundamentals,0.778,True,532,0.938
ATT00148,ASM003,LRN0017,Apache Spark Basics,0.86,True,604,0.851
ATT00149,ASM010,LRN0017,Data Warehousing,0.131,False,907,0.104
ATT00150,ASM008,LRN0017,Data Pipeline Design,0.306,False,658,0.248
ATT00151,ASM031,LRN0017,Python Basics,0.571,False,813,0.473
ATT00152,ASM019,LRN0017,Git & Version Control,0.62,True,515,0.634
ATT00153,ASM030,LRN0017,Problem Solving (DSA Practice),0.913,True,700,0.952
ATT00154,ASM024,LRN0018,Linux Fundamentals,0.405,False,579,0.452
ATT00155,ASM006,LRN0018,Cloud Computing Basics,0.701,True,576,0.672
ATT00156,ASM001,LRN0018,AWS Core Services,0.89,True,473,0.947
ATT00157,ASM014,LRN0018,Docker Fundamentals,0.089,False,660,0.132
ATT00158,ASM023,LRN0018,Kubernetes Basics,0.254,False,669,0.348
ATT00159,ASM004,LRN0018,CI/CD Pipelines,0.576,False,671,0.563
ATT00160,ASM031,LRN0018,Python Basics,0.697,True,548,0.759
ATT00161,ASM019,LRN0018,Git & Version Control,0.943,True,584,0.793
ATT00162,ASM030,LRN0018,Problem Solving (DSA Practice),0.081,False,529,0.05
ATT00163,ASM036,LRN0019,SQL Basics,0.889,True,667,0.789
ATT00164,ASM002,LRN0019,Advanced SQL,0.923,True,680,0.98
ATT00165,ASM016,LRN0019,Excel for Data Analysis,0.039,False,407,0.139
ATT00166,ASM009,LRN0019,Data Visualization,0.36,False,561,0.375
ATT00167,ASM013,LRN0019,Descriptive Statistics,0.451,False,518,0.414
ATT00168,ASM017,LRN0019,Exploratory Data Analysis,0.629,True,734,0.686
ATT00169,ASM031,LRN0019,Python Basics,0.895,True,547,0.973
ATT00170,ASM019,LRN0019,Git & Version Control,0.197,False,653,0.291
ATT00171,ASM030,LRN0019,Problem Solving (DSA Practice),0.339,False,715,0.28
ATT00172,ASM032,LRN0020,Python Data Structures,0.934,True,652,0.98
ATT00173,ASM021,LRN0020,Inferential Statistics,0.239,False,659,0.099
ATT00174,ASM025,LRN0020,ML Foundations,0.348,False,587,0.369
ATT00175,ASM035,LRN0020,Regression Techniques,0.542,False,550,0.475
ATT00176,ASM005,LRN0020,Classification Techniques,0.795,True,495,0.64
ATT00177,ASM027,LRN0020,Model Evaluation,0.948,True,552,0.965
ATT00178,ASM031,LRN0020,Python Basics,0.121,False,611,0.05
ATT00179,ASM019,LRN0020,Git & Version Control,0.325,False,602,0.359
ATT00180,ASM030,LRN0020,Problem Solving (DSA Practice),0.522,False,508,0.441
ATT00181,ASM025,LRN0021,ML Foundations,0.132,False,591,0.091
ATT00182,ASM018,LRN0021,Feature Engineering,0.459,False,739,0.414
ATT00183,ASM028,LRN0021,Neural Networks,0.447,False,429,0.359
ATT00184,ASM012,LRN0021,Deep Learning,0.724,True,571,0.863
ATT00185,ASM026,LRN0021,Model Deployment,0.896,True,553,0.935
ATT00186,ASM027,LRN0021,Model Evaluation,0.073,False,597,0.116
ATT00187,ASM031,LRN0021,Python Basics,0.315,False,603,0.408
ATT00188,ASM019,LRN0021,Git & Version Control,0.6,True,616,0.507
ATT00189,ASM030,LRN0021,Problem Solving (DSA Practice),0.783,True,649,0.805
ATT00190,ASM020,LRN0022,HTML & CSS,0.287,False,691,0.29
ATT00191,ASM022,LRN0022,JavaScript Basics,0.558,False,552,0.588
ATT00192,ASM034,LRN0022,React Fundamentals,0.757,True,468,0.874
ATT00193,ASM029,LRN0022,Node.js Basics,0.997,True,692,0.935
ATT00194,ASM033,LRN0022,REST API Design,0.04,False,564,0.104
ATT00195,ASM011,LRN0022,Database Design (RDBMS),0.3,False,580,0.205
ATT00196,ASM031,LRN0022,Python Basics,0.471,False,590,0.601
ATT00197,ASM019,LRN0022,Git & Version Control,0.726,True,571,0.843
ATT00198,ASM030,LRN0022,Problem Solving (DSA Practice),0.974,True,637,0.98
ATT00199,ASM002,LRN0023,Advanced SQL,0.559,False,498,0.497
ATT00200,ASM007,LRN0023,Data Modeling,0.65,True,481,0.575
ATT00201,ASM015,LRN0023,ETL Fundamentals,0.945,True,597,0.98
ATT00202,ASM003,LRN0023,Apache Spark Basics,0.139,False,564,0.16
ATT00203,ASM010,LRN0023,Data Warehousing,0.372,False,555,0.234
ATT00204,ASM008,LRN0023,Data Pipeline Design,0.608,True,692,0.606
ATT00205,ASM031,LRN0023,Python Basics,0.804,True,478,0.868
ATT00206,ASM019,LRN0023,Git & Version Control,0.99,True,581,0.881
ATT00207,ASM030,LRN0023,Problem Solving (DSA Practice),0.156,False,593,0.121
ATT00208,ASM024,LRN0024,Linux Fundamentals,0.82,True,616,0.701
ATT00209,ASM006,LRN0024,Cloud Computing Basics,0.921,True,668,0.877
ATT00210,ASM001,LRN0024,AWS Core Services,0.217,False,538,0.115
ATT00211,ASM014,LRN0024,Docker Fundamentals,0.436,False,538,0.325
ATT00212,ASM023,LRN0024,Kubernetes Basics,0.649,True,823,0.592
ATT00213,ASM004,LRN0024,CI/CD Pipelines,0.766,True,544,0.704
ATT00214,ASM031,LRN0024,Python Basics,0.825,True,440,0.899
ATT00215,ASM019,LRN0024,Git & Version Control,0.055,False,774,0.201
ATT00216,ASM030,LRN0024,Problem Solving (DSA Practice),0.456,False,701,0.397
ATT00217,ASM036,LRN0025,SQL Basics,0.919,True,259,0.832
ATT00218,ASM002,LRN0025,Advanced SQL,0.249,False,633,0.278
ATT00219,ASM016,LRN0025,Excel for Data Analysis,0.241,False,492,0.369
ATT00220,ASM009,LRN0025,Data Visualization,0.59,False,597,0.534
ATT00221,ASM013,LRN0025,Descriptive Statistics,0.76,True,672,0.674
ATT00222,ASM017,LRN0025,Exploratory Data Analysis,0.821,True,710,0.951
ATT00223,ASM031,LRN0025,Python Basics,0.171,False,572,0.117
ATT00224,ASM019,LRN0025,Git & Version Control,0.351,False,650,0.322
ATT00225,ASM030,LRN0025,Problem Solving (DSA Practice),0.453,False,558,0.467
ATT00226,ASM032,LRN0026,Python Data Structures,0.104,False,831,0.158
ATT00227,ASM021,LRN0026,Inferential Statistics,0.21,False,554,0.363
ATT00228,ASM025,LRN0026,ML Foundations,0.65,True,765,0.697
ATT00229,ASM035,LRN0026,Regression Techniques,0.746,True,701,0.846
ATT00230,ASM005,LRN0026,Classification Techniques,0.853,True,597,0.808
ATT00231,ASM027,LRN0026,Model Evaluation,0.125,False,714,0.05
ATT00232,ASM031,LRN0026,Python Basics,0.229,False,537,0.359
ATT00233,ASM019,LRN0026,Git & Version Control,0.456,False,637,0.513
ATT00234,ASM030,LRN0026,Problem Solving (DSA Practice),0.725,True,642,0.646
ATT00235,ASM025,LRN0027,ML Foundations,0.366,False,417,0.353
ATT00236,ASM018,LRN0027,Feature Engineering,0.635,True,627,0.637
ATT00237,ASM028,LRN0027,Neural Networks,0.604,True,618,0.574
ATT00238,ASM012,LRN0027,Deep Learning,0.91,True,492,0.809
ATT00239,ASM026,LRN0027,Model Deployment,0.093,False,742,0.06
ATT00240,ASM027,LRN0027,Model Evaluation,0.42,False,777,0.421
ATT00241,ASM031,LRN0027,Python Basics,0.521,False,620,0.455
ATT00242,ASM019,LRN0027,Git & Version Control,0.788,True,664,0.729
ATT00243,ASM030,LRN0027,Problem Solving (DSA Practice),0.85,True,611,0.886
ATT00244,ASM020,LRN0028,HTML & CSS,0.627,True,506,0.687
ATT00245,ASM022,LRN0028,JavaScript Basics,0.698,True,555,0.693
ATT00246,ASM034,LRN0028,React Fundamentals,0.895,True,341,0.98
ATT00247,ASM029,LRN0028,Node.js Basics,0.237,False,591,0.13
ATT00248,ASM033,LRN0028,REST API Design,0.431,False,912,0.466
ATT00249,ASM011,LRN0028,Database Design (RDBMS),0.519,False,611,0.522
ATT00250,ASM031,LRN0028,Python Basics,0.816,True,750,0.819
ATT00251,ASM019,LRN0028,Git & Version Control,0.922,True,546,0.98
ATT00252,ASM030,LRN0028,Problem Solving (DSA Practice),0.216,False,741,0.11
ATT00253,ASM002,LRN0029,Advanced SQL,0.761,True,599,0.6
ATT00254,ASM007,LRN0029,Data Modeling,0.923,True,790,0.98
ATT00255,ASM015,LRN0029,ETL Fundamentals,0.117,False,796,0.156
ATT00256,ASM003,LRN0029,Apache Spark Basics,0.374,False,518,0.385
ATT00257,ASM010,LRN0029,Data Warehousing,0.443,False,393,0.578
ATT00258,ASM008,LRN0029,Data Pipeline Design,0.782,True,686,0.809
ATT00259,ASM031,LRN0029,Python Basics,0.972,True,619,0.98
ATT00260,ASM019,LRN0029,Git & Version Control,0.167,False,579,0.135
ATT00261,ASM030,LRN0029,Problem Solving (DSA Practice),0.353,False,742,0.408
ATT00262,ASM024,LRN0030,Linux Fundamentals,0.93,True,553,0.864
ATT00263,ASM006,LRN0030,Cloud Computing Basics,0.109,False,332,0.112
ATT00264,ASM001,LRN0030,AWS Core Services,0.326,False,336,0.405
ATT00265,ASM014,LRN0030,Docker Fundamentals,0.492,False,500,0.494
ATT00266,ASM023,LRN0030,Kubernetes Basics,0.683,True,591,0.699
ATT00267,ASM004,LRN0030,CI/CD Pipelines,0.911,True,457,0.807
ATT00268,ASM031,LRN0030,Python Basics,0.092,False,447,0.05
ATT00269,ASM019,LRN0030,Git & Version Control,0.345,False,640,0.3
ATT00270,ASM030,LRN0030,Problem Solving (DSA Practice),0.547,False,587,0.611
ATT00271,ASM036,LRN0031,SQL Basics,0.116,False,524,0.081
ATT00272,ASM002,LRN0031,Advanced SQL,0.381,False,516,0.328
ATT00273,ASM016,LRN0031,Excel for Data Analysis,0.608,True,561,0.502
ATT00274,ASM009,LRN0031,Data Visualization,0.621,True,685,0.553
ATT00275,ASM013,LRN0031,Descriptive Statistics,0.94,True,630,0.98
ATT00276,ASM017,LRN0031,Exploratory Data Analysis,0.273,False,474,0.178
ATT00277,ASM031,LRN0031,Python Basics,0.341,False,712,0.357
ATT00278,ASM019,LRN0031,Git & Version Control,0.48,False,510,0.543
ATT00279,ASM030,LRN0031,Problem Solving (DSA Practice),0.721,True,564,0.763
ATT00280,ASM032,LRN0032,Python Data Structures,0.45,False,458,0.475
ATT00281,ASM021,LRN0032,Inferential Statistics,0.513,False,457,0.599
ATT00282,ASM025,LRN0032,ML Foundations,0.663,True,765,0.722
ATT00283,ASM035,LRN0032,Regression Techniques,0.932,True,575,0.822
ATT00284,ASM005,LRN0032,Classification Techniques,0.09,False,504,0.05
ATT00285,ASM027,LRN0032,Model Evaluation,0.373,False,460,0.48
ATT00286,ASM031,LRN0032,Python Basics,0.671,True,757,0.719
ATT00287,ASM019,LRN0032,Git & Version Control,0.635,True,493,0.723
ATT00288,ASM030,LRN0032,Problem Solving (DSA Practice),0.923,True,521,0.917
ATT00289,ASM025,LRN0033,ML Foundations,0.501,False,397,0.621
ATT00290,ASM018,LRN0033,Feature Engineering,0.676,True,673,0.717
ATT00291,ASM028,LRN0033,Neural Networks,0.965,True,557,0.909
ATT00292,ASM012,LRN0033,Deep Learning,0.112,False,487,0.059
ATT00293,ASM026,LRN0033,Model Deployment,0.332,False,627,0.24
ATT00294,ASM027,LRN0033,Model Evaluation,0.488,False,494,0.613
ATT00295,ASM031,LRN0033,Python Basics,0.685,True,583,0.573
ATT00296,ASM019,LRN0033,Git & Version Control,0.976,True,566,0.822
ATT00297,ASM030,LRN0033,Problem Solving (DSA Practice),0.236,False,722,0.304
ATT00298,ASM020,LRN0034,HTML & CSS,0.852,True,627,0.813
ATT00299,ASM022,LRN0034,JavaScript Basics,0.809,True,468,0.827
ATT00300,ASM034,LRN0034,React Fundamentals,0.177,False,568,0.196
ATT00301,ASM029,LRN0034,Node.js Basics,0.247,False,633,0.2
ATT00302,ASM033,LRN0034,REST API Design,0.418,False,691,0.479
ATT00303,ASM011,LRN0034,Database Design (RDBMS),0.891,True,667,0.774
ATT00304,ASM031,LRN0034,Python Basics,0.947,True,625,0.98
ATT00305,ASM019,LRN0034,Git & Version Control,0.198,False,552,0.14
ATT00306,ASM030,LRN0034,Problem Solving (DSA Practice),0.291,False,525,0.406
ATT00307,ASM002,LRN0035,Advanced SQL,0.953,True,560,0.874
ATT00308,ASM007,LRN0035,Data Modeling,0.174,False,648,0.05
ATT00309,ASM015,LRN0035,ETL Fundamentals,0.31,False,648,0.392
ATT00310,ASM003,LRN0035,Apache Spark Basics,0.528,False,579,0.415
ATT00311,ASM010,LRN0035,Data Warehousing,0.842,True,532,0.717
ATT00312,ASM008,LRN0035,Data Pipeline Design,0.891,True,712,0.776
ATT00313,ASM031,LRN0035,Python Basics,0.046,False,584,0.05
ATT00314,ASM019,LRN0035,Git & Version Control,0.326,False,619,0.27
ATT00315,ASM030,LRN0035,Problem Solving (DSA Practice),0.59,False,491,0.565
ATT00316,ASM024,LRN0036,Linux Fundamentals,0.218,False,726,0.324
ATT00317,ASM006,LRN0036,Cloud Computing Basics,0.313,False,598,0.383
ATT00318,ASM001,LRN0036,AWS Core Services,0.525,False,617,0.475
ATT00319,ASM014,LRN0036,Docker Fundamentals,0.725,True,757,0.678
ATT00320,ASM023,LRN0036,Kubernetes Basics,0.941,True,638,0.98
ATT00321,ASM004,LRN0036,CI/CD Pipelines,0.109,False,642,0.154
ATT00322,ASM031,LRN0036,Python Basics,0.408,False,683,0.379
ATT00323,ASM019,LRN0036,Git & Version Control,0.576,False,438,0.534
ATT00324,ASM030,LRN0036,Problem Solving (DSA Practice),0.793,True,621,0.742
ATT00325,ASM036,LRN0037,SQL Basics,0.384,False,709,0.473
ATT00326,ASM002,LRN0037,Advanced SQL,0.547,False,276,0.613
ATT00327,ASM016,LRN0037,Excel for Data Analysis,0.688,True,615,0.656
ATT00328,ASM009,LRN0037,Data Visualization,0.939,True,386,0.98
ATT00329,ASM013,LRN0037,Descriptive Statistics,0.087,False,595,0.098
ATT00330,ASM017,LRN0037,Exploratory Data Analysis,0.383,False,654,0.462
ATT00331,ASM031,LRN0037,Python Basics,0.655,True,615,0.74
ATT00332,ASM019,LRN0037,Git & Version Control,0.678,True,460,0.762
ATT00333,ASM030,LRN0037,Problem Solving (DSA Practice),0.884,True,566,0.908
ATT00334,ASM032,LRN0038,Python Data Structures,0.631,True,551,0.757
ATT00335,ASM021,LRN0038,Inferential Statistics,0.705,True,640,0.717
ATT00336,ASM025,LRN0038,ML Foundations,0.847,True,666,0.91
ATT00337,ASM035,LRN0038,Regression Techniques,0.109,False,509,0.148
ATT00338,ASM005,LRN0038,Classification Techniques,0.294,False,546,0.298
ATT00339,ASM027,LRN0038,Model Evaluation,0.642,True,732,0.72
ATT00340,ASM031,LRN0038,Python Basics,0.659,True,547,0.599
ATT00341,ASM019,LRN0038,Git & Version Control,0.887,True,559,0.964
ATT00342,ASM030,LRN0038,Problem Solving (DSA Practice),0.211,False,692,0.271
ATT00343,ASM025,LRN0039,ML Foundations,0.748,True,557,0.651
ATT00344,ASM018,LRN0039,Feature Engineering,0.838,True,672,0.841
ATT00345,ASM028,LRN0039,Neural Networks,0.102,False,645,0.066
ATT00346,ASM012,LRN0039,Deep Learning,0.353,False,433,0.416
ATT00347,ASM026,LRN0039,Model Deployment,0.415,False,474,0.422
ATT00348,ASM027,LRN0039,Model Evaluation,0.795,True,621,0.749
ATT00349,ASM031,LRN0039,Python Basics,0.892,True,703,0.959
ATT00350,ASM019,LRN0039,Git & Version Control,0.102,False,613,0.244
ATT00351,ASM030,LRN0039,Problem Solving (DSA Practice),0.283,False,707,0.388
ATT00352,ASM020,LRN0040,HTML & CSS,0.887,True,666,0.95
ATT00353,ASM022,LRN0040,JavaScript Basics,0.191,False,649,0.32
ATT00354,ASM034,LRN0040,React Fundamentals,0.43,False,546,0.283
ATT00355,ASM029,LRN0040,Node.js Basics,0.596,False,699,0.662
ATT00356,ASM033,LRN0040,REST API Design,0.779,True,659,0.78
ATT00357,ASM011,LRN0040,Database Design (RDBMS),0.895,True,433,0.827
ATT00358,ASM031,LRN0040,Python Basics,0.058,False,616,0.195
ATT00359,ASM019,LRN0040,Git & Version Control,0.241,False,404,0.35
ATT00360,ASM030,LRN0040,Problem Solving (DSA Practice),0.622,True,673,0.546
ATT00361,ASM002,LRN0041,Advanced SQL,0.173,False,540,0.261
ATT00362,ASM007,LRN0041,Data Modeling,0.37,False,527,0.317
ATT00363,ASM015,LRN0041,ETL Fundamentals,0.674,True,439,0.53
ATT00364,ASM003,LRN0041,Apache Spark Basics,0.651,True,645,0.61
ATT00365,ASM010,LRN0041,Data Warehousing,0.939,True,720,0.813
ATT00366,ASM008,LRN0041,Data Pipeline Design,0.246,False,441,0.132
ATT00367,ASM031,LRN0041,Python Basics,0.234,False,547,0.399
