learner_skill_id,learner_id,skill_id,skill_name,mastery_score,mastery_band,confidence_score,evidence_strength,source
LSK00147,LRN0017,SK053,ETL Fundamentals,0.835,proficient,0.938,0.55,diagnostic_and_practice
LSK00148,LRN0017,SK057,Apache Spark Basics,0.872,advanced,0.851,0.57,diagnostic_and_practice
LSK00149,LRN0017,SK054,Data Warehousing,0.138,novice,0.104,0.75,diagnostic_and_practice
LSK00150,LRN0017,SK060,Data Pipeline Design,0.33,developing,0.248,0.81,diagnostic_and_practice
LSK00151,LRN0017,SK001,Python Basics,0.514,competent,0.473,0.86,diagnostic_and_practice
LSK00152,LRN0017,SK002,Git & Version Control,0.67,proficient,0.634,0.89,diagnostic_and_practice
LSK00153,LRN0017,SK008,Problem Solving (DSA Practice),0.936,advanced,0.952,0.43,diagnostic_and_practice
LSK00154,LRN0018,SK041,Linux Fundamentals,0.454,competent,0.452,0.36,diagnostic_and_practice
LSK00155,LRN0018,SK042,Cloud Computing Basics,0.661,proficient,0.672,0.65,diagnostic_and_practice
LSK00156,LRN0018,SK044,AWS Core Services,0.917,advanced,0.947,0.66,diagnostic_and_practice
LSK00157,LRN0018,SK045,Docker Fundamentals,0.107,novice,0.132,0.47,diagnostic_and_practice
LSK00158,LRN0018,SK047,Kubernetes Basics,0.267,developing,0.348,0.61,diagnostic_and_practice
LSK00159,LRN0018,SK048,CI/CD Pipelines,0.567,competent,0.563,0.88,diagnostic_and_practice
LSK00160,LRN0018,SK001,Python Basics,0.741,proficient,0.759,0.69,diagnostic_and_practice
LSK00161,LRN0018,SK002,Git & Version Control,0.896,advanced,0.793,0.51,diagnostic_and_practice
LSK00162,LRN0018,SK008,Problem Solving (DSA Practice),0.15,novice,0.05,0.56,diagnostic_and_practice
LSK00163,LRN0019,SK012,SQL Basics,0.837,proficient,0.789,0.65,diagnostic_and_practice
LSK00164,LRN0019,SK019,Advanced SQL,0.92,advanced,0.98,0.36,diagnostic_and_practice
LSK00165,LRN0019,SK013,Excel for Data Analysis,0.085,novice,0.139,0.8,diagnostic_and_practice
LSK00166,LRN0019,SK016,Data Visualization,0.31,developing,0.375,0.34,diagnostic_and_practice
LSK00167,LRN0019,SK011,Descriptive Statistics,0.503,competent,0.414,0.84,diagnostic_and_practice
LSK00168,LRN0019,SK018,Exploratory Data Analysis,0.657,proficient,0.686,0.5,diagnostic_and_practice
LSK00169,LRN0019,SK001,Python Basics,0.954,advanced,0.973,0.73,diagnostic_and_practice
LSK00170,LRN0019,SK002,Git & Version Control,0.217,novice,0.291,0.7,diagnostic_and_practice
LSK00171,LRN0019,SK008,Problem Solving (DSA Practice),0.328,developing,0.28,0.63,diagnostic_and_practice
LSK00172,LRN0020,SK003,Python Data Structures,0.911,advanced,0.98,0.37,diagnostic_and_practice
LSK00173,LRN0020,SK017,Inferential Statistics,0.185,novice,0.099,0.31,diagnostic_and_practice
LSK00174,LRN0020,SK021,ML Foundations,0.328,developing,0.369,0.7,diagnostic_and_practice
LSK00175,LRN0020,SK022,Regression Techniques,0.59,competent,0.475,0.48,diagnostic_and_practice
LSK00176,LRN0020,SK023,Classification Techniques,0.754,proficient,0.64,0.42,diagnostic_and_practice
LSK00177,LRN0020,SK024,Model Evaluation,0.925,advanced,0.965,0.81,diagnostic_and_practice
LSK00178,LRN0020,SK001,Python Basics,0.09,novice,0.05,0.37,diagnostic_and_practice
LSK00179,LRN0020,SK002,Git & Version Control,0.322,developing,0.359,0.56,diagnostic_and_practice
LSK00180,LRN0020,SK008,Problem Solving (DSA Practice),0.546,competent,0.441,0.8,diagnostic_and_practice
LSK00181,LRN0021,SK021,ML Foundations,0.079,novice,0.091,0.82,diagnostic_and_practice
LSK00182,LRN0021,SK025,Feature Engineering,0.436,developing,0.414,0.52,diagnostic_and_practice
LSK00183,LRN0021,SK027,Neural Networks,0.478,competent,0.359,0.72,diagnostic_and_practice
LSK00184,LRN0021,SK028,Deep Learning,0.769,proficient,0.863,0.6,diagnostic_and_practice
LSK00185,LRN0021,SK050,Model Deployment,0.875,advanced,0.935,0.86,diagnostic_and_practice
LSK00186,LRN0021,SK024,Model Evaluation,0.098,novice,0.116,0.75,diagnostic_and_practice
LSK00187,LRN0021,SK001,Python Basics,0.348,developing,0.408,0.48,diagnostic_and_practice
LSK00188,LRN0021,SK002,Git & Version Control,0.575,competent,0.507,0.84,diagnostic_and_practice
LSK00189,LRN0021,SK008,Problem Solving (DSA Practice),0.78,proficient,0.805,0.83,diagnostic_and_practice
LSK00190,LRN0022,SK031,HTML & CSS,0.275,developing,0.29,0.74,diagnostic_and_practice
LSK00191,LRN0022,SK032,JavaScript Basics,0.5,competent,0.588,0.33,diagnostic_and_practice
LSK00192,LRN0022,SK035,React Fundamentals,0.792,proficient,0.874,0.43,diagnostic_and_practice
LSK00193,LRN0022,SK036,Node.js Basics,0.941,advanced,0.935,0.65,diagnostic_and_practice
LSK00194,LRN0022,SK037,REST API Design,0.054,novice,0.104,0.62,diagnostic_and_practice
LSK00195,LRN0022,SK034,Database Design (RDBMS),0.265,developing,0.205,0.6,diagnostic_and_practice
LSK00196,LRN0022,SK001,Python Basics,0.501,competent,0.601,0.38,diagnostic_and_practice
LSK00197,LRN0022,SK002,Git & Version Control,0.738,proficient,0.843,0.3,diagnostic_and_practice
LSK00198,LRN0022,SK008,Problem Solving (DSA Practice),0.928,advanced,0.98,0.83,diagnostic_and_practice
LSK00199,LRN0023,SK019,Advanced SQL,0.61,competent,0.497,0.57,diagnostic_and_practice
LSK00200,LRN0023,SK051,Data Modeling,0.676,proficient,0.575,0.32,diagnostic_and_practice
LSK00201,LRN0023,SK053,ETL Fundamentals,0.905,advanced,0.98,0.42,diagnostic_and_practice
LSK00202,LRN0023,SK057,Apache Spark Basics,0.149,novice,0.16,0.55,diagnostic_and_practice
LSK00203,LRN0023,SK054,Data Warehousing,0.317,developing,0.234,0.73,diagnostic_and_practice
LSK00204,LRN0023,SK060,Data Pipeline Design,0.592,competent,0.606,0.7,diagnostic_and_practice
LSK00205,LRN0023,SK001,Python Basics,0.816,proficient,0.868,0.87,diagnostic_and_practice
LSK00206,LRN0023,SK002,Git & Version Control,0.941,advanced,0.881,0.68,diagnostic_and_practice
LSK00207,LRN0023,SK008,Problem Solving (DSA Practice),0.15,novice,0.121,0.44,diagnostic_and_practice
LSK00208,LRN0024,SK041,Linux Fundamentals,0.814,proficient,0.701,0.32,diagnostic_and_practice
LSK00209,LRN0024,SK042,Cloud Computing Basics,0.966,advanced,0.877,0.85,diagnostic_and_practice
LSK00210,LRN0024,SK044,AWS Core Services,0.234,novice,0.115,0.63,diagnostic_and_practice
LSK00211,LRN0024,SK045,Docker Fundamentals,0.37,developing,0.325,0.58,diagnostic_and_practice
LSK00212,LRN0024,SK047,Kubernetes Basics,0.622,competent,0.592,0.71,diagnostic_and_practice
LSK00213,LRN0024,SK048,CI/CD Pipelines,0.806,proficient,0.704,0.75,diagnostic_and_practice
LSK00214,LRN0024,SK001,Python Basics,0.858,advanced,0.899,0.74,diagnostic_and_practice
LSK00215,LRN0024,SK002,Git & Version Control,0.091,novice,0.201,0.56,diagnostic_and_practice
LSK00216,LRN0024,SK008,Problem Solving (DSA Practice),0.387,developing,0.397,0.31,diagnostic_and_practice
LSK00217,LRN0025,SK012,SQL Basics,0.952,advanced,0.832,0.32,diagnostic_and_practice
LSK00218,LRN0025,SK019,Advanced SQL,0.226,novice,0.278,0.9,diagnostic_and_practice
LSK00219,LRN0025,SK013,Excel for Data Analysis,0.257,developing,0.369,0.75,diagnostic_and_practice
LSK00220,LRN0025,SK016,Data Visualization,0.599,competent,0.534,0.81,diagnostic_and_practice
LSK00221,LRN0025,SK011,Descriptive Statistics,0.692,proficient,0.674,0.39,diagnostic_and_practice
LSK00222,LRN0025,SK018,Exploratory Data Analysis,0.858,advanced,0.951,0.62,diagnostic_and_practice
LSK00223,LRN0025,SK001,Python Basics,0.168,novice,0.117,0.71,diagnostic_and_practice
LSK00224,LRN0025,SK002,Git & Version Control,0.388,developing,0.322,0.58,diagnostic_and_practice
LSK00225,LRN0025,SK008,Problem Solving (DSA Practice),0.465,competent,0.467,0.36,diagnostic_and_practice
LSK00226,LRN0026,SK003,Python Data Structures,0.081,novice,0.158,0.59,diagnostic_and_practice
LSK00227,LRN0026,SK017,Inferential Statistics,0.276,developing,0.363,0.4,diagnostic_and_practice
LSK00228,LRN0026,SK021,ML Foundations,0.607,competent,0.697,0.39,diagnostic_and_practice
LSK00229,LRN0026,SK022,Regression Techniques,0.736,proficient,0.846,0.85,diagnostic_and_practice
LSK00230,LRN0026,SK023,Classification Techniques,0.879,advanced,0.808,0.79,diagnostic_and_practice
LSK00231,LRN0026,SK024,Model Evaluation,0.06,novice,0.05,0.31,diagnostic_and_practice
LSK00232,LRN0026,SK001,Python Basics,0.255,developing,0.359,0.3,diagnostic_and_practice
LSK00233,LRN0026,SK002,Git & Version Control,0.487,competent,0.513,0.68,diagnostic_and_practice
LSK00234,LRN0026,SK008,Problem Solving (DSA Practice),0.72,proficient,0.646,0.43,diagnostic_and_practice
LSK00235,LRN0027,SK021,ML Foundations,0.387,developing,0.353,0.49,diagnostic_and_practice
LSK00236,LRN0027,SK025,Feature Engineering,0.602,competent,0.637,0.5,diagnostic_and_practice
LSK00237,LRN0027,SK027,Neural Networks,0.672,proficient,0.574,0.32,diagnostic_and_practice
LSK00238,LRN0027,SK028,Deep Learning,0.921,advanced,0.809,0.36,diagnostic_and_practice
LSK00239,LRN0027,SK050,Model Deployment,0.101,novice,0.06,0.63,diagnostic_and_practice
LSK00240,LRN0027,SK024,Model Evaluation,0.441,developing,0.421,0.52,diagnostic_and_practice
LSK00241,LRN0027,SK001,Python Basics,0.483,competent,0.455,0.44,diagnostic_and_practice
LSK00242,LRN0027,SK002,Git & Version Control,0.837,proficient,0.729,0.31,diagnostic_and_practice
LSK00243,LRN0027,SK008,Problem Solving (DSA Practice),0.887,advanced,0.886,0.82,diagnostic_and_practice
LSK00244,LRN0028,SK031,HTML & CSS,0.646,competent,0.687,0.4,diagnostic_and_practice
LSK00245,LRN0028,SK032,JavaScript Basics,0.667,proficient,0.693,0.4,diagnostic_and_practice
LSK00246,LRN0028,SK035,React Fundamentals,0.869,advanced,0.98,0.63,diagnostic_and_practice
LSK00247,LRN0028,SK036,Node.js Basics,0.242,novice,0.13,0.47,diagnostic_and_practice
LSK00248,LRN0028,SK037,REST API Design,0.427,developing,0.466,0.68,diagnostic_and_practice
LSK00249,LRN0028,SK034,Database Design (RDBMS),0.485,competent,0.522,0.89,diagnostic_and_practice
LSK00250,LRN0028,SK001,Python Basics,0.825,proficient,0.819,0.49,diagnostic_and_practice
LSK00251,LRN0028,SK002,Git & Version Control,0.936,advanced,0.98,0.83,diagnostic_and_practice
LSK00252,LRN0028,SK008,Problem Solving (DSA Practice),0.222,novice,0.11,0.74,diagnostic_and_practice
LSK00253,LRN0029,SK019,Advanced SQL,0.712,proficient,0.6,0.85,diagnostic_and_practice
LSK00254,LRN0029,SK051,Data Modeling,0.961,advanced,0.98,0.34,diagnostic_and_practice
LSK00255,LRN0029,SK053,ETL Fundamentals,0.138,novice,0.156,0.74,diagnostic_and_practice
LSK00256,LRN0029,SK057,Apache Spark Basics,0.392,developing,0.385,0.36,diagnostic_and_practice
LSK00257,LRN0029,SK054,Data Warehousing,0.496,competent,0.578,0.47,diagnostic_and_practice
LSK00258,LRN0029,SK060,Data Pipeline Design,0.814,proficient,0.809,0.88,diagnostic_and_practice
LSK00259,LRN0029,SK001,Python Basics,0.937,advanced,0.98,0.79,diagnostic_and_practice
LSK00260,LRN0029,SK002,Git & Version Control,0.156,novice,0.135,0.32,diagnostic_and_practice
LSK00261,LRN0029,SK008,Problem Solving (DSA Practice),0.339,developing,0.408,0.66,diagnostic_and_practice
LSK00262,LRN0030,SK041,Linux Fundamentals,0.919,advanced,0.864,0.59,diagnostic_and_practice
LSK00263,LRN0030,SK042,Cloud Computing Basics,0.121,novice,0.112,0.32,diagnostic_and_practice
LSK00264,LRN0030,SK044,AWS Core Services,0.364,developing,0.405,0.4,diagnostic_and_practice
LSK00265,LRN0030,SK045,Docker Fundamentals,0.477,competent,0.494,0.37,diagnostic_and_practice
LSK00266,LRN0030,SK047,Kubernetes Basics,0.685,proficient,0.699,0.79,diagnostic_and_practice
LSK00267,LRN0030,SK048,CI/CD Pipelines,0.886,advanced,0.807,0.86,diagnostic_and_practice
LSK00268,LRN0030,SK001,Python Basics,0.06,novice,0.05,0.74,diagnostic_and_practice
LSK00269,LRN0030,SK002,Git & Version Control,0.4,developing,0.3,0.57,diagnostic_and_practice
LSK00270,LRN0030,SK008,Problem Solving (DSA Practice),0.499,competent,0.611,0.82,diagnostic_and_practice
LSK00271,LRN0031,SK012,SQL Basics,0.134,novice,0.081,0.56,diagnostic_and_practice
