message_id,message_text,intent_label
MSG0027,"I need to finish this in half the time, please optimize.",REQUEST_FASTER
MSG0028,"I want to change my time budget, I now have twelve hours a week.",MODIFY_GOAL
MSG0029,Can you recommend a good restaurant in Delhi?,OUT_OF_SCOPE
MSG0030,Why do you recommend this practice set instead of a full course?,ASK_WHY_RECOMMENDATION
MSG0031,Why is this project suggested before I learn machine learning basics?,ASK_WHY_RECOMMENDATION
MSG0032,"I already understand data visualization, can this be skipped?",REQUEST_SKIP
MSG0033,Please make my plan more aggressive so I finish sooner.,REQUEST_FASTER
MSG0034,Can you suggest a project idea combining Excel and Power BI style analysis?,REQUEST_PROJECT
MSG0035,"This course exceeded my expectations, very well structured.",GIVE_FEEDBACK
MSG0036,"I want a completely new plan, the current one is not suitable.",REQUEST_REPLAN
MSG0037,I want to switch from QA testing to data analytics.,CREATE_GOAL
MSG0038,Can I mark this resource as already known and move ahead?,REQUEST_SKIP
MSG0039,Can we change my target role from data analyst to data scientist?,MODIFY_GOAL
MSG0040,"Can we start a new goal, I want to become a DevOps engineer?",CREATE_GOAL
MSG0041,"Set a new learning goal, I want to specialize in NLP and become an ML engineer.",CREATE_GOAL
MSG0042,Why is this resource considered high priority in my path?,ASK_WHY_RECOMMENDATION
MSG0043,What does normalization form mean in database design?,ASK_CONCEPT_EXPLANATION
MSG0044,What if I want to finish this in three months instead of six?,WHAT_IF_SIMULATION
MSG0045,Can you explain why I need to do this statistics course first?,ASK_WHY_RECOMMENDATION
MSG0046,Can you explain what an inner join versus a left join is?,ASK_CONCEPT_EXPLANATION
MSG0047,Please help me plan my path to becoming a data scientist from a BCA background.,CREATE_GOAL
MSG0048,"I found this resource too long, it could be shorter.",GIVE_FEEDBACK
MSG0049,What if I want to switch from exam mode to career mode?,WHAT_IF_SIMULATION
MSG0050,"I want to speed up my learning path, can you optimize for time?",REQUEST_FASTER
MSG0051,Why do I need advanced SQL before starting the data modeling module?,ASK_WHY_RECOMMENDATION
MSG0052,I want to prepare for data engineering roles in Indian product companies.,CREATE_GOAL
MSG0053,"This course was really helpful, thank you for recommending it.",GIVE_FEEDBACK
MSG0054,"I already covered this in an online course before, can it be skipped?",REQUEST_SKIP
MSG0055,"What if I only had weekends free to study, how would that affect my plan?",WHAT_IF_SIMULATION
MSG0056,What would my plan look like if I already cleared all diagnostics with high scores?,WHAT_IF_SIMULATION
MSG0057,Can you give me a project idea involving UPI or fintech data?,REQUEST_PROJECT
MSG0058,Please replan considering I now have less time available.,REQUEST_REPLAN
MSG0059,What does CI/CD mean in software development?,ASK_CONCEPT_EXPLANATION
MSG0060,This assessment was fair and matched my skill level well.,GIVE_FEEDBACK
MSG0061,Can we regenerate the plan since I completed extra courses outside this platform?,REQUEST_REPLAN
MSG0062,I want to fast track my preparation before placements.,REQUEST_FASTER
MSG0063,Why is this resource ranked higher than the other one?,ASK_WHY_RECOMMENDATION
MSG0064,Can I skip this topic since I have prior experience?,REQUEST_SKIP
MSG0065,"This was a fantastic project, I added it to my resume.",GIVE_FEEDBACK
MSG0066,"I want an easier path, this is too much pressure.",REQUEST_EASIER
MSG0067,Can we mark this as mastered and skip to the next skill?,REQUEST_SKIP
MSG0068,"My priorities changed, please shift my goal towards ML engineering.",MODIFY_GOAL
MSG0069,The video quality was good but the pace was too fast.,GIVE_FEEDBACK
MSG0070,Why does the system think I am ready for this advanced topic?,ASK_WHY_RECOMMENDATION
MSG0071,Can you recommend a good yoga routine for beginners?,OUT_OF_SCOPE
MSG0072,"Can I move past this resource, I am already comfortable with it?",REQUEST_SKIP
MSG0073,Can you give me a project that uses both Python and SQL?,REQUEST_PROJECT
MSG0074,I want a hands-on project to practice what I have learned.,REQUEST_PROJECT
MSG0075,How does the platform support career transitions from non-tech backgrounds?,GENERAL_QUESTION
MSG0076,What is a root gap and how is it different from a normal skill gap?,GENERAL_QUESTION
MSG0077,Can you tell me the rules of the game of cricket?,OUT_OF_SCOPE
MSG0078,Can you tell me more about how mastery scores are calculated?,GENERAL_QUESTION
MSG0079,Can I skip this and move directly to the assessment?,REQUEST_SKIP
MSG0080,I want a project idea that is relevant to Indian e-commerce.,REQUEST_PROJECT
MSG0081,What happens to my timeline if my weekly hours drop to three?,WHAT_IF_SIMULATION
MSG0082,"I already know this from my college coursework, can it be skipped?",REQUEST_SKIP
MSG0083,Can you explain why this project was chosen for my portfolio?,ASK_WHY_RECOMMENDATION
MSG0084,"Please suggest simpler content, I am new to programming.",REQUEST_EASIER
MSG0085,How accurate are the time estimates given for each resource?,GENERAL_QUESTION
MSG0086,Can you replan my path to be faster given my deadline changed?,REQUEST_FASTER
MSG0087,I want to build a dashboard project for my portfolio.,REQUEST_PROJECT
MSG0088,"I need to move quicker, can the plan be made leaner?",REQUEST_FASTER
MSG0089,I want an updated path after this diagnostic assessment.,REQUEST_REPLAN
MSG0090,This resource covered exactly the skill gap I had.,GIVE_FEEDBACK
MSG0091,Why is this the very next recommended action for me?,ASK_WHY_RECOMMENDATION
MSG0092,This resource was too easy for where I currently am.,GIVE_FEEDBACK
MSG0093,"What if I already know SQL well, how much time would that save?",WHAT_IF_SIMULATION
MSG0094,Can you give me a faster track to reach my goal?,REQUEST_FASTER
MSG0095,I want to switch my specialization from computer vision to NLP.,MODIFY_GOAL
MSG0096,"I know React already from a previous project, can I skip this?",REQUEST_SKIP
MSG0097,"Can you change my goal deadline to be more aggressive, three months instead?",MODIFY_GOAL
MSG0098,I want to prepare for a data science interview at a Hyderabad company.,CREATE_GOAL
MSG0099,Can you help me write a resignation letter for my job?,OUT_OF_SCOPE
MSG0100,What is the difference between OLTP and OLAP systems?,ASK_CONCEPT_EXPLANATION
MSG0101,What does learning debt mean in the context of my roadmap?,GENERAL_QUESTION
MSG0102,I want to change my target from data engineer to analytics engineer.,MODIFY_GOAL
MSG0103,Can you recommend some good podcasts about history?,OUT_OF_SCOPE
MSG0104,Can you replan considering I am stronger in Python than before?,REQUEST_REPLAN
MSG0105,"I know Kubernetes basics from my current job, can this be skipped?",REQUEST_SKIP
MSG0106,I want to move from manual testing to a data analyst role.,CREATE_GOAL
MSG0107,Can you tell me about the history of the Taj Mahal?,OUT_OF_SCOPE
MSG0108,I want a project I can add to my GitHub portfolio.,REQUEST_PROJECT
MSG0109,How do I provide feedback on a course I just completed?,GENERAL_QUESTION
MSG0110,Can you explain what an embedding is in NLP?,ASK_CONCEPT_EXPLANATION
MSG0111,What is the purpose of a data warehouse?,ASK_CONCEPT_EXPLANATION
MSG0112,Can we modify the roadmap to prioritize interview preparation earlier?,MODIFY_GOAL
MSG0113,Can my next resource be easier than this one?,REQUEST_EASIER
MSG0114,Can we skip some practice and go straight to the project?,REQUEST_FASTER
MSG0115,Can you explain what a Kubernetes pod is?,ASK_CONCEPT_EXPLANATION
MSG0116,How is the estimated completion date for my goal calculated?,GENERAL_QUESTION
MSG0117,"I really enjoyed this hands-on lab, very practical.",GIVE_FEEDBACK
MSG0118,What if I reduce my target skills to only the most essential ones?,WHAT_IF_SIMULATION
MSG0119,I want to restart my roadmap with updated skill information.,REQUEST_REPLAN
MSG0120,I want a project to strengthen my data engineering resume.,REQUEST_PROJECT
MSG0121,I want to start learning towards a data engineer career.,CREATE_GOAL
MSG0122,Please create a learning path for me to become a machine learning engineer.,CREATE_GOAL
MSG0123,What is the difference between AWS EC2 and S3?,ASK_CONCEPT_EXPLANATION
MSG0124,"Please simplify my current milestone, it feels too hard.",REQUEST_EASIER
MSG0125,I want the system to replan after several weeks of inactivity.,REQUEST_REPLAN
MSG0126,What is the difference between the fast track and deep mastery modes?,GENERAL_QUESTION
MSG0127,Can we update my roadmap since I already have SQL experience from my job?,MODIFY_GOAL
MSG0128,I want a new roadmap that reflects my current actual skill level.,REQUEST_REPLAN
MSG0129,I want to finish this phase faster than planned.,REQUEST_FASTER
MSG0130,"I did not find this article helpful, it was too basic.",GIVE_FEEDBACK
MSG0131,"Please regenerate my plan, this one no longer fits my needs.",REQUEST_REPLAN
MSG0132,What are some good gift ideas for a birthday?,OUT_OF_SCOPE
MSG0133,Can you explain the reason behind recommending this particular project?,ASK_WHY_RECOMMENDATION
MSG0134,Can you recommend a project idea for a beginner full stack developer?,REQUEST_PROJECT
MSG0135,How does this platform decide what to recommend to me?,GENERAL_QUESTION
MSG0136,Can you recalculate my roadmap after my project submission?,REQUEST_REPLAN
MSG0137,What is the best way to learn classical Indian music?,OUT_OF_SCOPE
MSG0138,I want to plan a career switch into machine learning engineering.,CREATE_GOAL
MSG0139,Can we regenerate my plan after my recent milestone failure?,REQUEST_REPLAN
MSG0140,Can we skip this and jump directly to the capstone project?,REQUEST_SKIP
MSG0141,"I have limited time now, please accelerate my plan.",REQUEST_FASTER
MSG0142,"I found this course too generic, not India-specific enough.",GIVE_FEEDBACK
MSG0143,Can we redo my learning path from the current phase onward?,REQUEST_REPLAN
MSG0144,I want to learn the full stack in nine months and get a developer job.,CREATE_GOAL
MSG0145,"Please accelerate my plan, my company wants me ready sooner.",REQUEST_FASTER
MSG0146,What if I want to prioritize cloud skills over machine learning?,WHAT_IF_SIMULATION
MSG0147,Can we prioritize only the highest impact resources?,REQUEST_FASTER
MSG0148,This topic needs to be broken into easier smaller pieces.,REQUEST_EASIER
MSG0149,What is the traffic situation on the Bengaluru outer ring road?,OUT_OF_SCOPE
MSG0150,Why do I need to complete this quiz before moving to the next phase?,ASK_WHY_RECOMMENDATION
MSG0151,Can you explain what portfolio readiness means on this platform?,GENERAL_QUESTION
MSG0152,I want a fresh path generated using all my latest evidence.,REQUEST_REPLAN
MSG0153,Can you reduce the difficulty of my current learning path?,REQUEST_EASIER
MSG0154,What if I want to finish the assessments faster than the course content?,WHAT_IF_SIMULATION
MSG0155,Can you suggest a project involving Indian Railways or IRCTC data?,REQUEST_PROJECT
MSG0156,"I want to reach my goal quicker, please adjust the plan.",REQUEST_FASTER
MSG0157,"This course is too difficult for me, can you suggest something easier?",REQUEST_EASIER
MSG0158,Can you explain why this resource matches my weekly time budget?,ASK_WHY_RECOMMENDATION
MSG0159,Please cut down my roadmap to the essentials only.,REQUEST_FASTER
MSG0160,I have finished my B.Tech and I want to prepare for a data engineer role.,CREATE_GOAL
MSG0161,"What is a REST API, can you explain it simply?",ASK_CONCEPT_EXPLANATION
MSG0162,"I have prior AWS experience, can this module be skipped?",REQUEST_SKIP
MSG0163,"This is too much for a beginner like me, please simplify.",REQUEST_EASIER
MSG0164,"Please update my goal, my company now needs Java skills, not Python.",MODIFY_GOAL
MSG0165,"I did not like this course, the audio quality was poor.",GIVE_FEEDBACK
MSG0166,What is the difference between skippable and mandatory content?,GENERAL_QUESTION
MSG0167,Can you suggest a Docker and Kubernetes based project?,REQUEST_PROJECT
MSG0168,Can you tell me the reasoning behind suggesting this milestone now?,ASK_WHY_RECOMMENDATION
MSG0169,I want to become a full stack developer and get placed through campus recruitment.,CREATE_GOAL
MSG0170,What happens to my mastery estimate if I do not practice for a month?,WHAT_IF_SIMULATION
MSG0171,Can you explain why my path recommends this specific sequence?,ASK_WHY_RECOMMENDATION
MSG0172,Can you explain what a load balancer does?,ASK_CONCEPT_EXPLANATION
MSG0173,"I got a new offer, please change my goal to DevOps engineering.",MODIFY_GOAL
MSG0174,I want my path recalculated after this week's assessment results.,REQUEST_REPLAN
MSG0175,"Please rebuild my plan, it currently feels misaligned with my goal.",REQUEST_REPLAN
MSG0176,I want to modify my plan to add a DevOps specialization at the end.,MODIFY_GOAL
MSG0177,What is the best time to visit Ladakh?,OUT_OF_SCOPE
MSG0178,Help me become proficient in machine learning for a product-based company interview.,CREATE_GOAL
MSG0179,Please rebuild my path using my most recent assessment data.,REQUEST_REPLAN
MSG0180,Can you adjust my path to be less intense for now?,REQUEST_EASIER
MSG0181,What if I already completed a similar course outside this platform?,WHAT_IF_SIMULATION
MSG0182,Can you prioritize speed since my deadline moved closer?,REQUEST_FASTER
MSG0183,Please remove low priority resources to save time.,REQUEST_FASTER
MSG0184,"Please replan my path, I failed the last assessment badly.",REQUEST_REPLAN
MSG0185,"Can we skip this milestone assessment, I already know the material?",REQUEST_SKIP
MSG0186,Can you explain what horizontal scaling means?,ASK_CONCEPT_EXPLANATION
MSG0187,Can I skip this reading since I already know the concept?,REQUEST_SKIP
MSG0188,I want to modify my target company size to enterprise instead of startup.,MODIFY_GOAL
MSG0189,Can you explain why this particular provider was chosen for me?,ASK_WHY_RECOMMENDATION
MSG0190,Help me create a goal to become a backend focused full stack developer.,CREATE_GOAL
MSG0191,Can you update my weekly study hours from seven to ten?,MODIFY_GOAL
MSG0192,What is the difference between standard mode and exam mode?,GENERAL_QUESTION
MSG0193,What would happen if I skip the machine learning phase entirely?,WHAT_IF_SIMULATION
MSG0194,"Can we skip this course, I already passed the related assessment?",REQUEST_SKIP
MSG0195,"This assessment was too hard, can I get easier practice first?",REQUEST_EASIER
MSG0196,Can we replan my journey to better fit my current schedule?,REQUEST_REPLAN
MSG0197,Can you replan my path after considering my recent project work?,REQUEST_REPLAN
MSG0198,Why do you think this course will close my biggest skill gap?,ASK_WHY_RECOMMENDATION
MSG0199,Can you help me file my income tax returns?,OUT_OF_SCOPE
MSG0200,I want a project idea to demonstrate my NLP skills.,REQUEST_PROJECT
MSG0201,Can you explain what happens during a replanning event?,GENERAL_QUESTION
MSG0202,Why is REST API design recommended before authentication basics?,ASK_WHY_RECOMMENDATION
MSG0203,This resource on data visualization was very engaging.,GIVE_FEEDBACK
MSG0204,Can I get an easier version of this data structures course?,REQUEST_EASIER
MSG0205,What is the population of India as of this year?,OUT_OF_SCOPE
MSG0206,What would change if I want to focus only on interview preparation?,WHAT_IF_SIMULATION
MSG0207,I want my roadmap recalculated based on my updated preferences.,REQUEST_REPLAN
MSG0208,Can you rebuild my entire roadmap from scratch?,REQUEST_REPLAN
MSG0209,What is the current interest rate on fixed deposits in India?,OUT_OF_SCOPE
MSG0210,How often does my learning path get updated?,GENERAL_QUESTION
MSG0211,Can we skip the optional content to save time?,REQUEST_FASTER
MSG0212,I want to shift my career into full stack web development.,CREATE_GOAL
MSG0213,What happens to my path if I already have two years of related experience?,WHAT_IF_SIMULATION
MSG0214,Why do you think I should learn Kubernetes before CI/CD pipelines?,ASK_WHY_RECOMMENDATION
MSG0215,Can you help me finish this before my exams start?,REQUEST_FASTER
MSG0216,I am from a mechanical engineering background and want to switch to data science.,CREATE_GOAL
MSG0217,Please remove non-essential resources so I can finish quicker.,REQUEST_FASTER
MSG0218,I want a machine learning project I can showcase to recruiters.,REQUEST_PROJECT
MSG0219,The examples in this resource were not very practical.,GIVE_FEEDBACK
MSG0220,Can you give me an advanced project idea for deep learning?,REQUEST_PROJECT
MSG0221,Can I skip this project since I have done something similar before?,REQUEST_SKIP
MSG0222,I want a project to demonstrate my full stack skills end-to-end.,REQUEST_PROJECT
MSG0223,I want the system to adjust my plan based on my last three attempts.,REQUEST_REPLAN
MSG0224,Can you update my goal to focus on AWS instead of Azure?,MODIFY_GOAL
MSG0225,I want to transition from a non-IT job to a tech role in data analytics.,CREATE_GOAL
MSG0226,The project rubric was not clear enough for me.,GIVE_FEEDBACK
MSG0227,Can you tell me how feedback affects future recommendations?,GENERAL_QUESTION
MSG0228,Can we bypass this resource since I know the fundamentals well?,REQUEST_SKIP
MSG0229,What is the weather like in Bengaluru today?,OUT_OF_SCOPE
MSG0230,This is too difficult to complete within my available time.,REQUEST_EASIER
MSG0231,Please regenerate my roadmap now that I know more SQL than before.,REQUEST_REPLAN
MSG0232,What is the best route from Pune to Mumbai by car?,OUT_OF_SCOPE
MSG0233,Why are you recommending this SQL course to me?,ASK_WHY_RECOMMENDATION
MSG0234,Can I skip the introductory video and go to the practice set?,REQUEST_SKIP
MSG0235,How does the platform choose between similar courses from different providers?,GENERAL_QUESTION
MSG0236,Please help me finish this milestone ahead of schedule.,REQUEST_FASTER
MSG0237,Can we skip this since my mastery score is already high?,REQUEST_SKIP
MSG0238,What is the difference between synchronous and asynchronous programming?,ASK_CONCEPT_EXPLANATION
MSG0239,How many hours of content are typically in one phase?,GENERAL_QUESTION
MSG0240,Can we shift my goal from machine learning engineer to data engineer?,MODIFY_GOAL
MSG0241,I want a condensed version of this learning path.,REQUEST_FASTER
MSG0242,"This machine learning module is too tough, can we go slower?",REQUEST_EASIER
MSG0243,Can you suggest a good playlist for a road trip?,OUT_OF_SCOPE
MSG0244,Please give me the quickest path to cover my skill gaps.,REQUEST_FASTER
MSG0245,Can you explain how skill prerequisites are structured?,GENERAL_QUESTION
MSG0246,Can you tell me a joke to lighten my mood?,OUT_OF_SCOPE
MSG0247,What is a good workout routine for weight loss?,OUT_OF_SCOPE
MSG0248,How does the platform track project-based learning evidence?,GENERAL_QUESTION
MSG0249,Can you explain what feature engineering means?,ASK_CONCEPT_EXPLANATION
MSG0250,Can you regenerate my roadmap considering my new career target?,REQUEST_REPLAN
MSG0251,"I have already mastered this topic, please skip it in my path.",REQUEST_SKIP
MSG0252,I want a project that will impress recruiters at product companies.,REQUEST_PROJECT
MSG0253,Please shift my focus from theory-heavy resources to more projects.,MODIFY_GOAL
MSG0254,I found the SQL practice questions repetitive.,GIVE_FEEDBACK
MSG0255,Can you explain the difference between supervised and unsupervised learning?,ASK_CONCEPT_EXPLANATION
MSG0256,Why do I need to revise probability before starting machine learning?,ASK_WHY_RECOMMENDATION
MSG0257,"I know HTML and CSS well, can I skip straight to JavaScript?",REQUEST_SKIP
MSG0258,How does the platform handle knowledge decay over time?,GENERAL_QUESTION
MSG0259,This course helped me understand SQL joins much better.,GIVE_FEEDBACK
MSG0260,Can you explain what an epoch means in deep learning training?,ASK_CONCEPT_EXPLANATION
MSG0261,Can you help me book a doctor's appointment?,OUT_OF_SCOPE
MSG0262,"I think my current path is not working, can you replan it?",REQUEST_REPLAN
MSG0263,This course gave me a strong foundation in statistics.,GIVE_FEEDBACK
MSG0264,What if I want to target a data engineer role instead of an analyst role?,WHAT_IF_SIMULATION
MSG0265,How does the platform decide which projects go into my portfolio track?,GENERAL_QUESTION
MSG0266,Why is this book recommended instead of an interactive lab?,ASK_WHY_RECOMMENDATION
MSG0267,Why is feature engineering recommended before ensemble methods?,ASK_WHY_RECOMMENDATION
MSG0268,Can you explain the difference between GET and POST requests?,ASK_CONCEPT_EXPLANATION
MSG0269,Can we skip this since I already cleared the diagnostic for it?,REQUEST_SKIP
MSG0270,Can you explain how assessments influence my mastery score?,GENERAL_QUESTION
MSG0271,Can I fast forward past this since I already understand it?,REQUEST_SKIP
MSG0272,What is the fastest way to reach the airport from Koramangala?,OUT_OF_SCOPE
MSG0273,I want to learn everything needed for a data scientist role at a product company.,CREATE_GOAL
MSG0274,Can you explain what data partitioning means in Spark?,ASK_CONCEPT_EXPLANATION
MSG0275,What is the difference between classification and regression?,ASK_CONCEPT_EXPLANATION
MSG0276,Please create a new roadmap since my situation has changed.,REQUEST_REPLAN
MSG0277,I want to become job ready as a Python developer within four months.,CREATE_GOAL
MSG0278,Can you optimize my roadmap for speed over depth?,REQUEST_FASTER
MSG0279,"I have relevant experience here, can this be left out of my path?",REQUEST_SKIP
MSG0280,I want to become a data analyst in six months.,CREATE_GOAL
MSG0281,"I want a roadmap for becoming a data analyst, I only know Excel currently.",CREATE_GOAL
MSG0282,I want to build a data engineering pipeline project.,REQUEST_PROJECT
MSG0283,Can you explain why my path prioritizes projects over courses?,ASK_WHY_RECOMMENDATION
MSG0284,Please change my learning goal deadline to align with placement season.,MODIFY_GOAL
MSG0285,"I am finding this topic very hard to follow, please simplify it.",REQUEST_EASIER
MSG0286,Why is this resource considered relevant to my target role?,ASK_WHY_RECOMMENDATION
MSG0287,Can you explain what a foreign key constraint does?,ASK_CONCEPT_EXPLANATION
MSG0288,What if I can only study four hours a week instead of seven?,WHAT_IF_SIMULATION
MSG0289,Can you suggest a project involving a CI/CD pipeline setup?,REQUEST_PROJECT
MSG0290,I appreciated how practical this ETL course was.,GIVE_FEEDBACK
MSG0291,"I am targeting an ML engineer role, please build my roadmap.",CREATE_GOAL
MSG0292,Can you explain why this resource fits my current skill level?,ASK_WHY_RECOMMENDATION
MSG0293,What happens to my timeline if I change my target to data engineer?,WHAT_IF_SIMULATION
MSG0294,What happens to my roadmap if I switch to project-first mode?,WHAT_IF_SIMULATION
MSG0295,I want a project idea that fits my available weekend hours.,REQUEST_PROJECT
MSG0296,Please modify my goal to remove machine learning and focus only on data engineering.,MODIFY_GOAL
MSG0297,"I really liked this NPTEL course, very well explained.",GIVE_FEEDBACK
MSG0298,Can you explain what a join is in SQL with an example?,ASK_CONCEPT_EXPLANATION
MSG0299,Can you recommend a cloud deployment project for practice?,REQUEST_PROJECT
MSG0300,Can we speed up by skipping resources I am already strong in?,REQUEST_FASTER
MSG0301,What would happen if I want to finish before the next placement drive?,WHAT_IF_SIMULATION
MSG0302,"Please change my goal, I now want to become a cloud engineer instead.",MODIFY_GOAL
MSG0303,How does the system know which resources are high quality?,GENERAL_QUESTION
MSG0304,Can you explain why this resource was picked given my preferences?,ASK_WHY_RECOMMENDATION
MSG0305,Why do I need to learn Linux before starting Docker?,ASK_WHY_RECOMMENDATION
MSG0306,"I am not ready for this level, can you go easier?",REQUEST_EASIER
MSG0307,Why is this article recommended instead of a video for this topic?,ASK_WHY_RECOMMENDATION
MSG0308,What would change if I switch my learning format to hands-on only?,WHAT_IF_SIMULATION
MSG0309,Can I skip this since I learned it during my internship?,REQUEST_SKIP
MSG0310,"I want to update my goal, I am now open to relocating for a data role.",MODIFY_GOAL
MSG0311,This resource matched my learning style very well.,GIVE_FEEDBACK
MSG0312,"I am targeting an entry level data engineer position, please guide me.",CREATE_GOAL
MSG0313,"This SQL topic is too complex, please give a simpler resource.",REQUEST_EASIER
MSG0314,"This assessment felt confusing, the questions were unclear.",GIVE_FEEDBACK
MSG0315,Can you help me set a reminder for my sister's wedding?,OUT_OF_SCOPE
MSG0316,I want to switch my target from full stack developer to backend developer.,MODIFY_GOAL
MSG0317,What are some good stress relief techniques?,OUT_OF_SCOPE
MSG0318,How does the system detect if I am at risk of losing motivation?,GENERAL_QUESTION
MSG0319,Can we replan my journey now that my deadline is closer?,REQUEST_REPLAN
MSG0320,The project was too time consuming for the credit it gave.,GIVE_FEEDBACK
MSG0321,"I already know Git, can we skip this resource?",REQUEST_SKIP
MSG0322,Can we update the goal to focus more on backend than frontend?,MODIFY_GOAL
MSG0323,Please cut the timeline down as much as possible.,REQUEST_FASTER
MSG0324,What is the difference between a stack and a queue?,ASK_CONCEPT_EXPLANATION
MSG0325,"I need to be ready in two months, can you speed things up?",REQUEST_FASTER
MSG0326,What if I want to explore an additional specialization alongside my main goal?,WHAT_IF_SIMULATION
MSG0327,What does the evidence strength score mean for my skills?,GENERAL_QUESTION
MSG0328,I want a capstone project idea for my data engineer roadmap.,REQUEST_PROJECT
MSG0329,Please rebuild my learning journey considering my recent struggles.,REQUEST_REPLAN
MSG0330,What happens if I complete the capstone project ahead of schedule?,WHAT_IF_SIMULATION
MSG0331,I want a project idea for my data analyst portfolio.,REQUEST_PROJECT
MSG0332,"What if I already have a portfolio project, how much time would that save?",WHAT_IF_SIMULATION
MSG0333,"This concept is too complicated, can you explain it more simply?",REQUEST_EASIER
MSG0334,I am a commerce graduate and want to become a data analyst.,CREATE_GOAL
MSG0335,Can you explain why my career relevance score is high for this resource?,ASK_WHY_RECOMMENDATION
MSG0336,"I already know descriptive statistics well, can this be skipped?",REQUEST_SKIP
MSG0337,This resource was not relevant to what I actually needed.,GIVE_FEEDBACK
MSG0338,The pacing of this course was too slow for me.,GIVE_FEEDBACK
MSG0339,I need a softer starting point for this skill.,REQUEST_EASIER
MSG0340,What if I want to become job ready in just two months?,WHAT_IF_SIMULATION
MSG0341,What is the difference between batch processing and stream processing?,ASK_CONCEPT_EXPLANATION
MSG0342,Please replan my path considering my updated weekly availability.,REQUEST_REPLAN
MSG0343,Can we edit my roadmap to remove the web development phase?,MODIFY_GOAL
MSG0344,Can we speed run the foundational topics I already partly know?,REQUEST_FASTER
MSG0345,"This project seems too difficult, can I get a simpler one?",REQUEST_EASIER
MSG0346,Why does the roadmap suggest this over something from GeeksforGeeks?,ASK_WHY_RECOMMENDATION
MSG0347,This deep learning content is too advanced for my level.,REQUEST_EASIER
MSG0348,I want to switch my focus from Java to Python for my full stack goal.,MODIFY_GOAL
MSG0349,Can you suggest an easier alternative for neural networks?,REQUEST_EASIER
MSG0350,Can you suggest something practical I can build with Python?,REQUEST_PROJECT
MSG0351,Can you make my next few recommendations easier?,REQUEST_EASIER
MSG0352,Can you help me plan my wedding guest list?,OUT_OF_SCOPE
MSG0353,What if I want a deep mastery approach instead of fast track?,WHAT_IF_SIMULATION
MSG0354,Can you extend my deadline by two more months?,MODIFY_GOAL
MSG0355,I want a project that combines React and Node.js.,REQUEST_PROJECT
MSG0356,"I am overwhelmed, can the difficulty be reduced?",REQUEST_EASIER
MSG0357,Please make my next phase quicker to complete.,REQUEST_FASTER
MSG0358,"This is too hard to grasp in one go, please simplify.",REQUEST_EASIER
MSG0359,Why is this course recommended instead of the one I picked?,ASK_WHY_RECOMMENDATION
MSG0360,How is the weekly time budget used in generating my roadmap?,GENERAL_QUESTION
MSG0361,I think this course is outdated compared to current practices.,GIVE_FEEDBACK
MSG0362,Can you recommend a project using Indian datasets?,REQUEST_PROJECT
MSG0363,"Please rebuild my path, too many resources feel irrelevant now.",REQUEST_REPLAN
MSG0364,Can you tell me how projects are selected for my roadmap?,GENERAL_QUESTION
MSG0365,Can I skip this quiz since I am confident about the topic?,REQUEST_SKIP
MSG0366,Can you recommend a project that uses AWS services?,REQUEST_PROJECT
MSG0367,What is the difference between a monolith and microservices architecture?,ASK_CONCEPT_EXPLANATION
MSG0368,What is the procedure to get a driving license in India?,OUT_OF_SCOPE
