mapping_id,resource_id,skill_id,skill_name,coverage_score
RSK0176,RES0097,SK031,HTML & CSS,0.3
RSK0177,RES0098,SK033,Responsive UI Design,1.0
RSK0178,RES0098,SK031,HTML & CSS,0.3
RSK0179,RES0099,SK033,Responsive UI Design,1.0
RSK0180,RES0099,SK031,HTML & CSS,0.3
RSK0181,RES0100,SK034,Database Design (RDBMS),1.0
RSK0182,RES0100,SK012,SQL Basics,0.3
RSK0183,RES0101,SK034,Database Design (RDBMS),1.0
RSK0184,RES0101,SK012,SQL Basics,0.3
RSK0185,RES0102,SK034,Database Design (RDBMS),1.0
RSK0186,RES0102,SK012,SQL Basics,0.3
RSK0187,RES0103,SK035,React Fundamentals,1.0
RSK0188,RES0103,SK032,JavaScript Basics,0.3
RSK0189,RES0104,SK035,React Fundamentals,1.0
RSK0190,RES0104,SK032,JavaScript Basics,0.3
RSK0191,RES0105,SK035,React Fundamentals,1.0
RSK0192,RES0105,SK032,JavaScript Basics,0.3
RSK0193,RES0106,SK036,Node.js Basics,1.0
RSK0194,RES0106,SK032,JavaScript Basics,0.3
RSK0195,RES0107,SK036,Node.js Basics,1.0
RSK0196,RES0107,SK032,JavaScript Basics,0.3
RSK0197,RES0108,SK036,Node.js Basics,1.0
RSK0198,RES0108,SK032,JavaScript Basics,0.3
RSK0199,RES0109,SK037,REST API Design,1.0
RSK0200,RES0109,SK036,Node.js Basics,0.3
RSK0201,RES0110,SK037,REST API Design,1.0
RSK0202,RES0110,SK036,Node.js Basics,0.3
RSK0203,RES0111,SK037,REST API Design,1.0
RSK0204,RES0111,SK036,Node.js Basics,0.3
RSK0205,RES0112,SK038,Authentication & Security Basics,1.0
RSK0206,RES0112,SK037,REST API Design,0.3
RSK0207,RES0113,SK038,Authentication & Security Basics,1.0
RSK0208,RES0113,SK037,REST API Design,0.3
RSK0209,RES0114,SK038,Authentication & Security Basics,1.0
RSK0210,RES0114,SK037,REST API Design,0.3
RSK0211,RES0115,SK039,Testing Fundamentals,1.0
RSK0212,RES0115,SK037,REST API Design,0.3
RSK0213,RES0116,SK039,Testing Fundamentals,1.0
RSK0214,RES0116,SK037,REST API Design,0.3
RSK0215,RES0117,SK039,Testing Fundamentals,1.0
RSK0216,RES0117,SK037,REST API Design,0.3
RSK0217,RES0118,SK040,Full Stack Project Architecture,1.0
RSK0218,RES0118,SK037,REST API Design,0.3
RSK0219,RES0119,SK040,Full Stack Project Architecture,1.0
RSK0220,RES0119,SK037,REST API Design,0.3
RSK0221,RES0120,SK040,Full Stack Project Architecture,1.0
RSK0222,RES0120,SK037,REST API Design,0.3
RSK0223,RES0121,SK041,Linux Fundamentals,1.0
RSK0224,RES0122,SK041,Linux Fundamentals,1.0
RSK0225,RES0123,SK041,Linux Fundamentals,1.0
RSK0226,RES0124,SK042,Cloud Computing Basics,1.0
RSK0227,RES0124,SK041,Linux Fundamentals,0.3
RSK0228,RES0125,SK042,Cloud Computing Basics,1.0
RSK0229,RES0125,SK041,Linux Fundamentals,0.3
RSK0230,RES0126,SK042,Cloud Computing Basics,1.0
RSK0231,RES0126,SK041,Linux Fundamentals,0.3
RSK0232,RES0127,SK043,Cloud Security Basics,1.0
RSK0233,RES0127,SK042,Cloud Computing Basics,0.3
RSK0234,RES0128,SK043,Cloud Security Basics,1.0
RSK0235,RES0128,SK042,Cloud Computing Basics,0.3
RSK0236,RES0129,SK043,Cloud Security Basics,1.0
RSK0237,RES0129,SK042,Cloud Computing Basics,0.3
RSK0238,RES0130,SK044,AWS Core Services,1.0
RSK0239,RES0130,SK042,Cloud Computing Basics,0.3
RSK0240,RES0131,SK044,AWS Core Services,1.0
RSK0241,RES0131,SK042,Cloud Computing Basics,0.3
RSK0242,RES0132,SK044,AWS Core Services,1.0
RSK0243,RES0132,SK042,Cloud Computing Basics,0.3
RSK0244,RES0133,SK045,Docker Fundamentals,1.0
RSK0245,RES0133,SK041,Linux Fundamentals,0.3
RSK0246,RES0134,SK045,Docker Fundamentals,1.0
RSK0247,RES0134,SK041,Linux Fundamentals,0.3
RSK0248,RES0135,SK045,Docker Fundamentals,1.0
RSK0249,RES0135,SK041,Linux Fundamentals,0.3
RSK0250,RES0136,SK046,Monitoring & Logging,1.0
RSK0251,RES0136,SK042,Cloud Computing Basics,0.3
RSK0252,RES0137,SK046,Monitoring & Logging,1.0
RSK0253,RES0137,SK042,Cloud Computing Basics,0.3
RSK0254,RES0138,SK046,Monitoring & Logging,1.0
RSK0255,RES0138,SK042,Cloud Computing Basics,0.3
RSK0256,RES0139,SK047,Kubernetes Basics,1.0
RSK0257,RES0139,SK045,Docker Fundamentals,0.3
RSK0258,RES0140,SK047,Kubernetes Basics,1.0
RSK0259,RES0140,SK045,Docker Fundamentals,0.3
RSK0260,RES0141,SK047,Kubernetes Basics,1.0
RSK0261,RES0141,SK045,Docker Fundamentals,0.3
RSK0262,RES0142,SK048,CI/CD Pipelines,1.0
RSK0263,RES0142,SK045,Docker Fundamentals,0.3
RSK0264,RES0143,SK048,CI/CD Pipelines,1.0
RSK0265,RES0143,SK045,Docker Fundamentals,0.3
RSK0266,RES0144,SK048,CI/CD Pipelines,1.0
RSK0267,RES0144,SK045,Docker Fundamentals,0.3
RSK0268,RES0145,SK049,Infrastructure as Code,1.0
RSK0269,RES0145,SK044,AWS Core Services,0.3
RSK0270,RES0146,SK049,Infrastructure as Code,1.0
RSK0271,RES0146,SK044,AWS Core Services,0.3
RSK0272,RES0147,SK049,Infrastructure as Code,1.0
RSK0273,RES0147,SK044,AWS Core Services,0.3
RSK0274,RES0148,SK050,Model Deployment,1.0
RSK0275,RES0148,SK045,Docker Fundamentals,0.3
RSK0276,RES0149,SK050,Model Deployment,1.0
RSK0277,RES0149,SK045,Docker Fundamentals,0.3
RSK0278,RES0150,SK050,Model Deployment,1.0
RSK0279,RES0150,SK045,Docker Fundamentals,0.3
RSK0280,RES0151,SK051,Data Modeling,1.0
RSK0281,RES0151,SK034,Database Design (RDBMS),0.3
RSK0282,RES0152,SK051,Data Modeling,1.0
RSK0283,RES0152,SK034,Database Design (RDBMS),0.3
RSK0284,RES0153,SK051,Data Modeling,1.0
RSK0285,RES0153,SK034,Database Design (RDBMS),0.3
RSK0286,RES0154,SK052,NoSQL Databases,1.0
RSK0287,RES0154,SK034,Database Design (RDBMS),0.3
RSK0288,RES0155,SK052,NoSQL Databases,1.0
RSK0289,RES0155,SK034,Database Design (RDBMS),0.3
RSK0290,RES0156,SK052,NoSQL Databases,1.0
RSK0291,RES0156,SK034,Database Design (RDBMS),0.3
RSK0292,RES0157,SK053,ETL Fundamentals,1.0
RSK0293,RES0157,SK051,Data Modeling,0.3
RSK0294,RES0158,SK053,ETL Fundamentals,1.0
RSK0295,RES0158,SK051,Data Modeling,0.3
RSK0296,RES0159,SK053,ETL Fundamentals,1.0
RSK0297,RES0159,SK051,Data Modeling,0.3
RSK0298,RES0160,SK054,Data Warehousing,1.0
RSK0299,RES0160,SK051,Data Modeling,0.3
RSK0300,RES0161,SK054,Data Warehousing,1.0
RSK0301,RES0161,SK051,Data Modeling,0.3
RSK0302,RES0162,SK054,Data Warehousing,1.0
RSK0303,RES0162,SK051,Data Modeling,0.3
RSK0304,RES0163,SK055,Big Data Fundamentals,1.0
RSK0305,RES0163,SK053,ETL Fundamentals,0.3
RSK0306,RES0164,SK055,Big Data Fundamentals,1.0
RSK0307,RES0164,SK053,ETL Fundamentals,0.3
RSK0308,RES0165,SK055,Big Data Fundamentals,1.0
RSK0309,RES0165,SK053,ETL Fundamentals,0.3
RSK0310,RES0166,SK056,Airflow Orchestration,1.0
RSK0311,RES0166,SK053,ETL Fundamentals,0.3
RSK0312,RES0167,SK056,Airflow Orchestration,1.0
RSK0313,RES0167,SK053,ETL Fundamentals,0.3
RSK0314,RES0168,SK056,Airflow Orchestration,1.0
RSK0315,RES0168,SK053,ETL Fundamentals,0.3
RSK0316,RES0169,SK057,Apache Spark Basics,1.0
RSK0317,RES0169,SK053,ETL Fundamentals,0.3
RSK0318,RES0170,SK057,Apache Spark Basics,1.0
RSK0319,RES0170,SK053,ETL Fundamentals,0.3
RSK0320,RES0171,SK057,Apache Spark Basics,1.0
RSK0321,RES0171,SK053,ETL Fundamentals,0.3
RSK0322,RES0172,SK058,Data Quality & Governance,1.0
RSK0323,RES0172,SK054,Data Warehousing,0.3
RSK0324,RES0173,SK058,Data Quality & Governance,1.0
RSK0325,RES0173,SK054,Data Warehousing,0.3
RSK0326,RES0174,SK058,Data Quality & Governance,1.0
RSK0327,RES0174,SK054,Data Warehousing,0.3
RSK0328,RES0175,SK059,Streaming Data (Kafka Basics),1.0
RSK0329,RES0175,SK055,Big Data Fundamentals,0.3
RSK0330,RES0176,SK059,Streaming Data (Kafka Basics),1.0
RSK0331,RES0176,SK055,Big Data Fundamentals,0.3
RSK0332,RES0177,SK059,Streaming Data (Kafka Basics),1.0
RSK0333,RES0177,SK055,Big Data Fundamentals,0.3
RSK0334,RES0178,SK060,Data Pipeline Design,1.0
RSK0335,RES0178,SK057,Apache Spark Basics,0.3
RSK0336,RES0179,SK060,Data Pipeline Design,1.0
RSK0337,RES0179,SK057,Apache Spark Basics,0.3
RSK0338,RES0180,SK060,Data Pipeline Design,1.0
RSK0339,RES0180,SK057,Apache Spark Basics,0.3
