recommendation_event_id,learner_id,resource_id,skill_name,score,reason,accepted
REC00038,LRN0012,RES0122,Linux Fundamentals,0.796,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,True
REC00039,LRN0012,RES0124,Cloud Computing Basics,0.735,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00040,LRN0012,RES0141,Kubernetes Basics,0.978,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00041,LRN0012,RES0143,CI/CD Pipelines,0.735,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00042,LRN0013,RES0048,Data Visualization,0.779,Addresses skill gap in Data Visualization required for Data Analyst,True
REC00043,LRN0013,RES0032,Descriptive Statistics,0.584,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00044,LRN0013,RES0052,Exploratory Data Analysis,0.939,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00045,LRN0014,RES0063,ML Foundations,0.935,Addresses skill gap in ML Foundations required for Data Scientist,True
REC00046,LRN0014,RES0065,Regression Techniques,0.721,Addresses skill gap in Regression Techniques required for Data Scientist,False
REC00047,LRN0015,RES0075,Feature Engineering,0.841,Addresses skill gap in Feature Engineering required for Machine Learning Engineer,True
REC00048,LRN0015,RES0080,Neural Networks,0.828,Addresses skill gap in Neural Networks required for Machine Learning Engineer,True
REC00049,LRN0015,RES0082,Deep Learning,0.98,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00050,LRN0016,RES0093,HTML & CSS,0.77,Addresses skill gap in HTML & CSS required for Full Stack Developer,True
REC00051,LRN0016,RES0095,JavaScript Basics,0.791,Addresses skill gap in JavaScript Basics required for Full Stack Developer,False
REC00052,LRN0016,RES0102,Database Design (RDBMS),0.791,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,True
REC00053,LRN0017,RES0056,Advanced SQL,0.756,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00054,LRN0017,RES0151,Data Modeling,0.672,Addresses skill gap in Data Modeling required for Data Engineer,True
REC00055,LRN0017,RES0162,Data Warehousing,0.804,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00056,LRN0017,RES0179,Data Pipeline Design,0.727,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
REC00057,LRN0018,RES0121,Linux Fundamentals,0.73,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,True
REC00058,LRN0018,RES0135,Docker Fundamentals,0.797,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00059,LRN0018,RES0140,Kubernetes Basics,0.864,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00060,LRN0018,RES0142,CI/CD Pipelines,0.836,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00061,LRN0019,RES0039,Excel for Data Analysis,0.754,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00062,LRN0019,RES0047,Data Visualization,0.717,Addresses skill gap in Data Visualization required for Data Analyst,True
REC00063,LRN0019,RES0031,Descriptive Statistics,0.576,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00064,LRN0020,RES0051,Inferential Statistics,0.616,Addresses skill gap in Inferential Statistics required for Data Scientist,False
REC00065,LRN0020,RES0062,ML Foundations,0.685,Addresses skill gap in ML Foundations required for Data Scientist,True
REC00066,LRN0020,RES0064,Regression Techniques,0.851,Addresses skill gap in Regression Techniques required for Data Scientist,False
REC00067,LRN0021,RES0063,ML Foundations,0.639,Addresses skill gap in ML Foundations required for Machine Learning Engineer,True
REC00068,LRN0021,RES0074,Feature Engineering,0.818,Addresses skill gap in Feature Engineering required for Machine Learning Engineer,True
REC00069,LRN0021,RES0079,Neural Networks,0.886,Addresses skill gap in Neural Networks required for Machine Learning Engineer,True
REC00070,LRN0021,RES0072,Model Evaluation,0.863,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00071,LRN0022,RES0092,HTML & CSS,0.764,Addresses skill gap in HTML & CSS required for Full Stack Developer,True
REC00072,LRN0022,RES0094,JavaScript Basics,0.678,Addresses skill gap in JavaScript Basics required for Full Stack Developer,False
REC00073,LRN0022,RES0111,REST API Design,0.831,Addresses skill gap in REST API Design required for Full Stack Developer,False
REC00074,LRN0022,RES0101,Database Design (RDBMS),0.974,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,True
REC00075,LRN0023,RES0171,Apache Spark Basics,0.919,Addresses skill gap in Apache Spark Basics required for Data Engineer,True
REC00076,LRN0023,RES0161,Data Warehousing,0.978,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00077,LRN0023,RES0178,Data Pipeline Design,0.832,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
REC00078,LRN0024,RES0132,AWS Core Services,0.799,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00079,LRN0024,RES0134,Docker Fundamentals,0.75,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00080,LRN0025,RES0057,Advanced SQL,0.776,Addresses skill gap in Advanced SQL required for Data Analyst,False
REC00081,LRN0025,RES0038,Excel for Data Analysis,0.666,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00082,LRN0025,RES0046,Data Visualization,0.705,Addresses skill gap in Data Visualization required for Data Analyst,True
REC00083,LRN0026,RES0009,Python Data Structures,0.845,Addresses skill gap in Python Data Structures required for Data Scientist,False
REC00084,LRN0026,RES0050,Inferential Statistics,0.81,Addresses skill gap in Inferential Statistics required for Data Scientist,False
REC00085,LRN0026,RES0072,Model Evaluation,0.864,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00086,LRN0027,RES0062,ML Foundations,0.718,Addresses skill gap in ML Foundations required for Machine Learning Engineer,True
REC00087,LRN0027,RES0150,Model Deployment,0.69,Addresses skill gap in Model Deployment required for Machine Learning Engineer,False
REC00088,LRN0027,RES0071,Model Evaluation,0.693,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00089,LRN0028,RES0108,Node.js Basics,0.899,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00090,LRN0028,RES0110,REST API Design,0.778,Addresses skill gap in REST API Design required for Full Stack Developer,True
REC00091,LRN0028,RES0100,Database Design (RDBMS),0.833,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,True
REC00092,LRN0029,RES0159,ETL Fundamentals,0.786,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00093,LRN0029,RES0170,Apache Spark Basics,0.712,Addresses skill gap in Apache Spark Basics required for Data Engineer,True
REC00094,LRN0029,RES0160,Data Warehousing,0.799,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00095,LRN0030,RES0126,Cloud Computing Basics,0.712,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00096,LRN0030,RES0131,AWS Core Services,0.829,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00097,LRN0030,RES0133,Docker Fundamentals,0.82,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00098,LRN0031,RES0036,SQL Basics,0.747,Addresses skill gap in SQL Basics required for Data Analyst,True
REC00099,LRN0031,RES0056,Advanced SQL,0.803,Addresses skill gap in Advanced SQL required for Data Analyst,True
REC00100,LRN0031,RES0037,Excel for Data Analysis,0.824,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00101,LRN0031,RES0054,Exploratory Data Analysis,0.865,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00102,LRN0032,RES0008,Python Data Structures,0.798,Addresses skill gap in Python Data Structures required for Data Scientist,False
REC00103,LRN0032,RES0049,Inferential Statistics,0.786,Addresses skill gap in Inferential Statistics required for Data Scientist,True
REC00104,LRN0032,RES0069,Classification Techniques,0.776,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00105,LRN0032,RES0071,Model Evaluation,0.656,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00106,LRN0033,RES0061,ML Foundations,0.692,Addresses skill gap in ML Foundations required for Machine Learning Engineer,True
REC00107,LRN0033,RES0084,Deep Learning,0.767,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00108,LRN0033,RES0149,Model Deployment,0.776,Addresses skill gap in Model Deployment required for Machine Learning Engineer,False
REC00109,LRN0033,RES0070,Model Evaluation,0.824,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00110,LRN0034,RES0105,React Fundamentals,0.738,Addresses skill gap in React Fundamentals required for Full Stack Developer,True
REC00111,LRN0034,RES0107,Node.js Basics,0.609,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00112,LRN0034,RES0109,REST API Design,0.852,Addresses skill gap in REST API Design required for Full Stack Developer,True
REC00113,LRN0035,RES0153,Data Modeling,0.669,Addresses skill gap in Data Modeling required for Data Engineer,False
REC00114,LRN0035,RES0158,ETL Fundamentals,0.901,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00115,LRN0035,RES0169,Apache Spark Basics,0.809,Addresses skill gap in Apache Spark Basics required for Data Engineer,True
REC00116,LRN0036,RES0123,Linux Fundamentals,0.702,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,True
REC00117,LRN0036,RES0125,Cloud Computing Basics,0.731,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00118,LRN0036,RES0130,AWS Core Services,0.786,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00119,LRN0036,RES0144,CI/CD Pipelines,0.799,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00120,LRN0037,RES0035,SQL Basics,0.747,Addresses skill gap in SQL Basics required for Data Analyst,False
REC00121,LRN0037,RES0055,Advanced SQL,0.768,Addresses skill gap in Advanced SQL required for Data Analyst,True
REC00122,LRN0037,RES0033,Descriptive Statistics,0.858,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00123,LRN0037,RES0053,Exploratory Data Analysis,0.829,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00124,LRN0038,RES0066,Regression Techniques,0.801,Addresses skill gap in Regression Techniques required for Data Scientist,True
REC00125,LRN0038,RES0068,Classification Techniques,0.874,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00126,LRN0039,RES0081,Neural Networks,0.866,Addresses skill gap in Neural Networks required for Machine Learning Engineer,True
REC00127,LRN0039,RES0083,Deep Learning,0.764,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00128,LRN0039,RES0148,Model Deployment,0.916,Addresses skill gap in Model Deployment required for Machine Learning Engineer,True
REC00129,LRN0040,RES0096,JavaScript Basics,0.735,Addresses skill gap in JavaScript Basics required for Full Stack Developer,True
REC00130,LRN0040,RES0104,React Fundamentals,0.63,Addresses skill gap in React Fundamentals required for Full Stack Developer,True
REC00131,LRN0040,RES0106,Node.js Basics,0.801,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00132,LRN0041,RES0057,Advanced SQL,0.91,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00133,LRN0041,RES0152,Data Modeling,0.756,Addresses skill gap in Data Modeling required for Data Engineer,True
REC00134,LRN0041,RES0180,Data Pipeline Design,0.77,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
REC00135,LRN0042,RES0122,Linux Fundamentals,0.816,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,True
REC00136,LRN0042,RES0141,Kubernetes Basics,0.791,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00137,LRN0042,RES0143,CI/CD Pipelines,0.712,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00138,LRN0043,RES0034,SQL Basics,0.775,Addresses skill gap in SQL Basics required for Data Analyst,True
REC00139,LRN0043,RES0048,Data Visualization,0.748,Addresses skill gap in Data Visualization required for Data Analyst,True
REC00140,LRN0043,RES0032,Descriptive Statistics,0.872,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00141,LRN0043,RES0052,Exploratory Data Analysis,0.821,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,False
REC00142,LRN0044,RES0063,ML Foundations,0.759,Addresses skill gap in ML Foundations required for Data Scientist,True
REC00143,LRN0044,RES0065,Regression Techniques,0.727,Addresses skill gap in Regression Techniques required for Data Scientist,True
REC00144,LRN0045,RES0075,Feature Engineering,0.722,Addresses skill gap in Feature Engineering required for Machine Learning Engineer,True
REC00145,LRN0045,RES0080,Neural Networks,0.864,Addresses skill gap in Neural Networks required for Machine Learning Engineer,False
REC00146,LRN0045,RES0082,Deep Learning,0.837,Addresses skill gap in Deep Learning required for Machine Learning Engineer,False
REC00147,LRN0046,RES0093,HTML & CSS,0.693,Addresses skill gap in HTML & CSS required for Full Stack Developer,True
REC00148,LRN0046,RES0095,JavaScript Basics,0.732,Addresses skill gap in JavaScript Basics required for Full Stack Developer,True
REC00149,LRN0046,RES0103,React Fundamentals,0.852,Addresses skill gap in React Fundamentals required for Full Stack Developer,True
REC00150,LRN0046,RES0102,Database Design (RDBMS),0.873,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,False
REC00151,LRN0047,RES0056,Advanced SQL,0.78,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00152,LRN0047,RES0162,Data Warehousing,0.727,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00153,LRN0047,RES0179,Data Pipeline Design,0.692,Addresses skill gap in Data Pipeline Design required for Data Engineer,False
REC00154,LRN0048,RES0121,Linux Fundamentals,0.76,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,True
REC00155,LRN0048,RES0135,Docker Fundamentals,0.717,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00156,LRN0048,RES0140,Kubernetes Basics,0.899,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00157,LRN0048,RES0142,CI/CD Pipelines,0.643,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00158,LRN0049,RES0039,Excel for Data Analysis,0.889,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00159,LRN0049,RES0047,Data Visualization,0.929,Addresses skill gap in Data Visualization required for Data Analyst,False
REC00160,LRN0049,RES0031,Descriptive Statistics,0.759,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00161,LRN0050,RES0051,Inferential Statistics,0.753,Addresses skill gap in Inferential Statistics required for Data Scientist,True
REC00162,LRN0050,RES0062,ML Foundations,0.808,Addresses skill gap in ML Foundations required for Data Scientist,False
REC00163,LRN0050,RES0064,Regression Techniques,0.689,Addresses skill gap in Regression Techniques required for Data Scientist,False
REC00164,LRN0051,RES0063,ML Foundations,0.807,Addresses skill gap in ML Foundations required for Machine Learning Engineer,True
REC00165,LRN0051,RES0074,Feature Engineering,0.738,Addresses skill gap in Feature Engineering required for Machine Learning Engineer,True
REC00166,LRN0051,RES0072,Model Evaluation,0.685,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00167,LRN0052,RES0092,HTML & CSS,0.682,Addresses skill gap in HTML & CSS required for Full Stack Developer,True
REC00168,LRN0052,RES0094,JavaScript Basics,0.721,Addresses skill gap in JavaScript Basics required for Full Stack Developer,True
REC00169,LRN0052,RES0111,REST API Design,0.751,Addresses skill gap in REST API Design required for Full Stack Developer,True
REC00170,LRN0052,RES0101,Database Design (RDBMS),0.701,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,True
REC00171,LRN0053,RES0055,Advanced SQL,0.798,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00172,LRN0053,RES0171,Apache Spark Basics,0.816,Addresses skill gap in Apache Spark Basics required for Data Engineer,True
REC00173,LRN0053,RES0161,Data Warehousing,0.782,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00174,LRN0053,RES0178,Data Pipeline Design,0.807,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
REC00175,LRN0054,RES0132,AWS Core Services,0.621,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00176,LRN0054,RES0134,Docker Fundamentals,0.71,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00177,LRN0054,RES0139,Kubernetes Basics,0.79,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00178,LRN0055,RES0057,Advanced SQL,0.773,Addresses skill gap in Advanced SQL required for Data Analyst,True
REC00179,LRN0055,RES0038,Excel for Data Analysis,0.672,Addresses skill gap in Excel for Data Analysis required for Data Analyst,True
REC00180,LRN0056,RES0009,Python Data Structures,0.864,Addresses skill gap in Python Data Structures required for Data Scientist,True
REC00181,LRN0056,RES0050,Inferential Statistics,0.589,Addresses skill gap in Inferential Statistics required for Data Scientist,True
REC00182,LRN0056,RES0061,ML Foundations,0.85,Addresses skill gap in ML Foundations required for Data Scientist,True
REC00183,LRN0056,RES0072,Model Evaluation,0.838,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00184,LRN0057,RES0062,ML Foundations,0.817,Addresses skill gap in ML Foundations required for Machine Learning Engineer,False
REC00185,LRN0057,RES0073,Feature Engineering,0.721,Addresses skill gap in Feature Engineering required for Machine Learning Engineer,True
REC00186,LRN0057,RES0150,Model Deployment,0.729,Addresses skill gap in Model Deployment required for Machine Learning Engineer,False
REC00187,LRN0057,RES0071,Model Evaluation,0.727,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00188,LRN0058,RES0108,Node.js Basics,0.7,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00189,LRN0058,RES0110,REST API Design,0.762,Addresses skill gap in REST API Design required for Full Stack Developer,False
REC00190,LRN0058,RES0100,Database Design (RDBMS),0.863,Addresses skill gap in Database Design (RDBMS) required for Full Stack Developer,True
REC00191,LRN0059,RES0159,ETL Fundamentals,0.887,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00192,LRN0059,RES0170,Apache Spark Basics,0.847,Addresses skill gap in Apache Spark Basics required for Data Engineer,False
REC00193,LRN0059,RES0160,Data Warehousing,0.721,Addresses skill gap in Data Warehousing required for Data Engineer,True
REC00194,LRN0060,RES0126,Cloud Computing Basics,0.836,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00195,LRN0060,RES0131,AWS Core Services,0.736,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00196,LRN0060,RES0133,Docker Fundamentals,0.715,Addresses skill gap in Docker Fundamentals required for Cloud/DevOps Engineer,True
REC00197,LRN0061,RES0036,SQL Basics,0.662,Addresses skill gap in SQL Basics required for Data Analyst,True
REC00198,LRN0061,RES0056,Advanced SQL,0.684,Addresses skill gap in Advanced SQL required for Data Analyst,True
REC00199,LRN0061,RES0054,Exploratory Data Analysis,0.739,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00200,LRN0062,RES0008,Python Data Structures,0.676,Addresses skill gap in Python Data Structures required for Data Scientist,True
REC00201,LRN0062,RES0049,Inferential Statistics,0.778,Addresses skill gap in Inferential Statistics required for Data Scientist,True
REC00202,LRN0062,RES0069,Classification Techniques,0.679,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00203,LRN0062,RES0071,Model Evaluation,0.778,Addresses skill gap in Model Evaluation required for Data Scientist,True
REC00204,LRN0063,RES0084,Deep Learning,0.804,Addresses skill gap in Deep Learning required for Machine Learning Engineer,True
REC00205,LRN0063,RES0149,Model Deployment,0.733,Addresses skill gap in Model Deployment required for Machine Learning Engineer,False
REC00206,LRN0063,RES0070,Model Evaluation,0.748,Addresses skill gap in Model Evaluation required for Machine Learning Engineer,True
REC00207,LRN0064,RES0105,React Fundamentals,0.88,Addresses skill gap in React Fundamentals required for Full Stack Developer,True
REC00208,LRN0064,RES0107,Node.js Basics,0.746,Addresses skill gap in Node.js Basics required for Full Stack Developer,True
REC00209,LRN0065,RES0153,Data Modeling,0.762,Addresses skill gap in Data Modeling required for Data Engineer,True
REC00210,LRN0065,RES0158,ETL Fundamentals,0.826,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00211,LRN0065,RES0169,Apache Spark Basics,0.84,Addresses skill gap in Apache Spark Basics required for Data Engineer,True
REC00212,LRN0066,RES0123,Linux Fundamentals,0.822,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,False
REC00213,LRN0066,RES0125,Cloud Computing Basics,0.748,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,False
REC00214,LRN0066,RES0130,AWS Core Services,0.753,Addresses skill gap in AWS Core Services required for Cloud/DevOps Engineer,True
REC00215,LRN0066,RES0144,CI/CD Pipelines,0.809,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00216,LRN0067,RES0035,SQL Basics,0.799,Addresses skill gap in SQL Basics required for Data Analyst,True
REC00217,LRN0067,RES0033,Descriptive Statistics,0.788,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
REC00218,LRN0067,RES0053,Exploratory Data Analysis,0.842,Addresses skill gap in Exploratory Data Analysis required for Data Analyst,True
REC00219,LRN0068,RES0007,Python Data Structures,0.631,Addresses skill gap in Python Data Structures required for Data Scientist,True
REC00220,LRN0068,RES0066,Regression Techniques,0.97,Addresses skill gap in Regression Techniques required for Data Scientist,False
REC00221,LRN0068,RES0068,Classification Techniques,0.731,Addresses skill gap in Classification Techniques required for Data Scientist,True
REC00222,LRN0069,RES0081,Neural Networks,0.732,Addresses skill gap in Neural Networks required for Machine Learning Engineer,True
REC00223,LRN0069,RES0083,Deep Learning,0.817,Addresses skill gap in Deep Learning required for Machine Learning Engineer,False
REC00224,LRN0069,RES0148,Model Deployment,0.746,Addresses skill gap in Model Deployment required for Machine Learning Engineer,False
REC00225,LRN0070,RES0096,JavaScript Basics,0.71,Addresses skill gap in JavaScript Basics required for Full Stack Developer,False
REC00226,LRN0070,RES0104,React Fundamentals,0.703,Addresses skill gap in React Fundamentals required for Full Stack Developer,False
REC00227,LRN0071,RES0057,Advanced SQL,0.76,Addresses skill gap in Advanced SQL required for Data Engineer,True
REC00228,LRN0071,RES0152,Data Modeling,0.862,Addresses skill gap in Data Modeling required for Data Engineer,True
REC00229,LRN0071,RES0157,ETL Fundamentals,0.896,Addresses skill gap in ETL Fundamentals required for Data Engineer,True
REC00230,LRN0071,RES0180,Data Pipeline Design,0.835,Addresses skill gap in Data Pipeline Design required for Data Engineer,True
REC00231,LRN0072,RES0122,Linux Fundamentals,0.873,Addresses skill gap in Linux Fundamentals required for Cloud/DevOps Engineer,False
REC00232,LRN0072,RES0124,Cloud Computing Basics,0.848,Addresses skill gap in Cloud Computing Basics required for Cloud/DevOps Engineer,True
REC00233,LRN0072,RES0141,Kubernetes Basics,0.815,Addresses skill gap in Kubernetes Basics required for Cloud/DevOps Engineer,True
REC00234,LRN0072,RES0143,CI/CD Pipelines,0.8,Addresses skill gap in CI/CD Pipelines required for Cloud/DevOps Engineer,True
REC00235,LRN0073,RES0034,SQL Basics,0.723,Addresses skill gap in SQL Basics required for Data Analyst,False
REC00236,LRN0073,RES0048,Data Visualization,0.854,Addresses skill gap in Data Visualization required for Data Analyst,True
REC00237,LRN0073,RES0032,Descriptive Statistics,0.647,Addresses skill gap in Descriptive Statistics required for Data Analyst,True
