goal_id,learner_id,goal_title,goal_type,target_role,core_target_skills,deadline_months,weekly_hours_committed,status,priority
GOAL0044,LRN0044,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0045,LRN0045,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0046,LRN0046,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0047,LRN0047,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0048,LRN0048,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0049,LRN0049,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0050,LRN0050,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0051,LRN0051,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0052,LRN0052,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0053,LRN0053,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0054,LRN0054,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0055,LRN0055,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0056,LRN0056,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0057,LRN0057,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0058,LRN0058,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0059,LRN0059,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0060,LRN0060,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0061,LRN0061,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0062,LRN0062,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0063,LRN0063,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0064,LRN0064,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0065,LRN0065,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0066,LRN0066,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0067,LRN0067,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0068,LRN0068,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0069,LRN0069,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0070,LRN0070,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0071,LRN0071,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0072,LRN0072,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0073,LRN0073,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0074,LRN0074,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0075,LRN0075,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0076,LRN0076,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0077,LRN0077,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0078,LRN0078,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0079,LRN0079,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0080,LRN0080,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0081,LRN0081,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0082,LRN0082,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0083,LRN0083,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0084,LRN0084,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0085,LRN0085,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0086,LRN0086,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0087,LRN0087,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0088,LRN0088,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0089,LRN0089,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0090,LRN0090,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0091,LRN0091,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0092,LRN0092,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0093,LRN0093,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0094,LRN0094,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0095,LRN0095,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0096,LRN0096,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0097,LRN0097,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0098,LRN0098,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0099,LRN0099,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0100,LRN0100,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0101,LRN0101,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0102,LRN0102,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0103,LRN0103,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0104,LRN0104,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0105,LRN0105,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0106,LRN0106,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0107,LRN0107,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0108,LRN0108,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0109,LRN0109,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0110,LRN0110,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0111,LRN0111,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0112,LRN0112,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0113,LRN0113,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0114,LRN0114,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0115,LRN0115,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0116,LRN0116,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0117,LRN0117,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0118,LRN0118,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0119,LRN0119,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0120,LRN0120,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
GOAL0121,LRN0121,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",3,5,active,high
GOAL0122,LRN0122,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",6,7,active,high
GOAL0123,LRN0123,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",9,10,active,high
GOAL0124,LRN0124,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",12,14,active,high
GOAL0125,LRN0125,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",3,5,active,high
GOAL0126,LRN0126,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",6,7,active,high
GOAL0127,LRN0127,Become a Data Analyst,career_transition_or_entry,Data Analyst,"SQL Basics, Advanced SQL, Excel for Data Analysis, Data Visualization, Descriptive Statistics, Exploratory Data Analysis",9,10,active,high
GOAL0128,LRN0128,Become a Data Scientist,career_transition_or_entry,Data Scientist,"Python Data Structures, Inferential Statistics, ML Foundations, Regression Techniques, Classification Techniques, Model Evaluation",12,14,active,high
GOAL0129,LRN0129,Become a Machine Learning Engineer,career_transition_or_entry,Machine Learning Engineer,"ML Foundations, Feature Engineering, Neural Networks, Deep Learning, Model Deployment, Model Evaluation",3,5,active,high
GOAL0130,LRN0130,Become a Full Stack Developer,career_transition_or_entry,Full Stack Developer,"HTML & CSS, JavaScript Basics, React Fundamentals, Node.js Basics, REST API Design, Database Design (RDBMS)",6,7,active,high
GOAL0131,LRN0131,Become a Data Engineer,career_transition_or_entry,Data Engineer,"Advanced SQL, Data Modeling, ETL Fundamentals, Apache Spark Basics, Data Warehousing, Data Pipeline Design",9,10,active,high
GOAL0132,LRN0132,Become a Cloud/DevOps Engineer,career_transition_or_entry,Cloud/DevOps Engineer,"Linux Fundamentals, Cloud Computing Basics, AWS Core Services, Docker Fundamentals, Kubernetes Basics, CI/CD Pipelines",12,14,active,high
